question,Vanilla_RAG_nltk_bleu,Vanilla_RAG_sacrebleu,Vanilla_RAG_rouge1,Vanilla_RAG_rouge2,Vanilla_RAG_rougeL,Vanilla_RAG_meteor,Vanilla_RAG_exact_match,Vanilla_RAG_bert_precision,Vanilla_RAG_bert_recall,Vanilla_RAG_bert_f1,LQR_RAG_nltk_bleu,LQR_RAG_sacrebleu,LQR_RAG_rouge1,LQR_RAG_rouge2,LQR_RAG_rougeL,LQR_RAG_meteor,LQR_RAG_exact_match,LQR_RAG_bert_precision,LQR_RAG_bert_recall,LQR_RAG_bert_f1,modLQR_RAG_nltk_bleu,modLQR_RAG_sacrebleu,modLQR_RAG_rouge1,modLQR_RAG_rouge2,modLQR_RAG_rougeL,modLQR_RAG_meteor,modLQR_RAG_exact_match,modLQR_RAG_bert_precision,modLQR_RAG_bert_recall,modLQR_RAG_bert_f1
"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929, a total of 22 teams are contesting the league: 15 returning from the 2016–17 season, The 2016–17 Serie B, known as the Serie B ConTe.it for sponsorship reasons, and was the 85th season since its establishment in, what year?",0.0,5.522397783539471,0.0,0.0,0.0,0.0,0,0.7934209704399109,0.8240646719932556,0.8084525465965271,17.78279410038923,100.00000000000004,1.0,0.0,1.0,0.5,1,1.0,1.0,1.0,17.78279410038923,100.00000000000004,1.0,0.0,1.0,0.5,1,1.0,1.0,1.0
"What specialism did Alec Naylor Dakin, fellow of Oxford College, pursue at Bletchley Park during the second World War; a central site for British codebreakers?",0.0,0.0,0.0,0.0,0.0,0.5,0,0.9975583553314209,0.9975583553314209,0.9975583553314209,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9956616759300232,0.9956616759300232,0.9956616759300232,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9864844083786011,0.9797483086585999,0.9831047654151917
Which actor from Jurassic Park assisted David Henry Hwang direct his 1993 play,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9545398950576782,0.8018044829368591,0.8715311288833618,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8064064979553223,0.8324402570724487,0.8192165493965149,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7665218710899353,0.8291059732437134,0.7965865731239319
"What character, voiced by Dan Castellaneta, starred in the second episode of the twenty-second season of The Simpsons?",0.0,27.516060407455225,0.0,0.0,0.0,0.0,0,0.9441255331039429,0.8285595178604126,0.8825754523277283,0.0,27.516060407455225,0.0,0.0,0.0,0.0,0,0.9400167465209961,0.8242176175117493,0.8783168792724609,14.95348781221221,49.99999999999999,0.5,0.0,0.5,0.25,0,0.9253954887390137,0.8329410552978516,0.8767375946044922
"Who was a part of S#arp, Lee Ji-hye or Curtis Wright?",31.6227766016838,100.00000000000004,1.0,1.0,1.0,0.9375,1,0.9999998807907104,0.9999998807907104,0.9999998807907104,31.6227766016838,100.00000000000004,1.0,1.0,1.0,0.9375,1,0.9999998807907104,0.9999998807907104,0.9999998807907104,6.985342056580097,8.392229812593097,0.4444444444444445,0.2857142857142857,0.4444444444444445,0.75,0,0.8880066871643066,0.982200026512146,0.9327313303947449
To which professional American basketball team was a former Atlanta Hawks and Los Angeles Clippers player traded during a season for the Chicago Bulls in which they finished in last place in the Central Division?,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9393267035484314,0.8207276463508606,0.8760313987731934,0.0,0.0,0.0,0.0,0.0,0.0,0,0.846012532711029,0.8751204013824463,0.8603202700614929,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9173871278762817,0.882195234298706,0.8994470834732056
"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?",17.78279410038923,100.00000000000004,1.0,0.0,1.0,0.5,1,1.000000238418579,1.000000238418579,1.000000238418579,8.034284189446518,6.567274736060395,0.4,0.0,0.4,0.3846153846153847,0,0.7853094935417175,0.8621525764465332,0.8219389319419861,0.0,49.99999999999999,0.0,0.0,0.0,0.0,0,0.9888578057289124,0.9851576089859009,0.9870042204856873
What did the USarmy seargant and convicted drug trafficker that was believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975 deny about Frank Lucas?,1.3217947626377298,2.445593937240363,0.10526315789473685,0.0,0.10526315789473685,0.09803921568627452,0,0.8638446927070618,0.90752774477005,0.8851475715637207,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8566866517066956,0.8662762641906738,0.8614547848701477,2.777619034011792,4.767707020457095,0.16666666666666666,0.0,0.16666666666666666,0.22727272727272727,0,0.8928595781326294,0.9171527028083801,0.9048430919647217
"Andrew Martin Dober, is an American mixed martial artist who competes in the lightweight division for which American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG?",7.069301148938887,28.175950490399515,0.3333333333333333,0.25,0.3333333333333333,0.588888888888889,0,0.8356146812438965,0.9184431433677673,0.875073254108429,66.8740304976422,80.91067115702207,0.888888888888889,0.8571428571428571,0.888888888888889,0.9679878048780488,0,0.9274891018867493,0.9549599885940552,0.941024124622345,66.8740304976422,80.91067115702207,0.888888888888889,0.8571428571428571,0.888888888888889,0.9679878048780488,0,0.9274890422821045,0.9549599885940552,0.941024124622345
"Which song on Eminem's album ""The Marshall Mathers LP 2"" was featured in the New Zealand top 50 singles of 2013?",0.6980361417366381,1.0885011049519644,0.06896551724137931,0.0,0.06896551724137931,0.11111111111111113,0,0.7739445567131042,0.822343111038208,0.7974100708961487,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7834621071815491,0.8621240854263306,0.8209130167961121,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7834620475769043,0.862123966217041,0.8209128975868225
