question,Vanilla_RAG_nltk_bleu,Vanilla_RAG_sacrebleu,Vanilla_RAG_rouge1,Vanilla_RAG_rouge2,Vanilla_RAG_rougeL,Vanilla_RAG_meteor,Vanilla_RAG_exact_match,Vanilla_RAG_bert_precision,Vanilla_RAG_bert_recall,Vanilla_RAG_bert_f1,LQR_RAG_nltk_bleu,LQR_RAG_sacrebleu,LQR_RAG_rouge1,LQR_RAG_rouge2,LQR_RAG_rougeL,LQR_RAG_meteor,LQR_RAG_exact_match,LQR_RAG_bert_precision,LQR_RAG_bert_recall,LQR_RAG_bert_f1,modLQR_RAG_nltk_bleu,modLQR_RAG_sacrebleu,modLQR_RAG_rouge1,modLQR_RAG_rouge2,modLQR_RAG_rougeL,modLQR_RAG_meteor,modLQR_RAG_exact_match,modLQR_RAG_bert_precision,modLQR_RAG_bert_recall,modLQR_RAG_bert_f1
"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929, a total of 22 teams are contesting the league: 15 returning from the 2016–17 season, The 2016–17 Serie B, known as the Serie B ConTe.it for sponsorship reasons, and was the 85th season since its establishment in, what year?",0.0,5.522397783539471,0.0,0.0,0.0,0.0,0,0.7934209704399109,0.8240646719932556,0.8084525465965271,17.78279410038923,100.00000000000004,1.0,0.0,1.0,0.5,1,1.0,1.0,1.0,17.78279410038923,100.00000000000004,1.0,0.0,1.0,0.5,1,1.0,1.0,1.0
"What specialism did Alec Naylor Dakin, fellow of Oxford College, pursue at Bletchley Park during the second World War; a central site for British codebreakers?",0.0,0.0,0.0,0.0,0.0,0.5,0,0.9975583553314209,0.9975583553314209,0.9975583553314209,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9864843487739563,0.9797483086585999,0.9831047654151917,0.0,0.0,0.0,0.0,0.0,0.5,0,0.9975583553314209,0.9975583553314209,0.9975583553314209
Which actor from Jurassic Park assisted David Henry Hwang direct his 1993 play,0.0,0.0,0.0,0.0,0.0,0.0,0,0.954539954662323,0.8018044829368591,0.871531069278717,0.0,0.0,0.0,0.0,0.0,0.0,0,0.806406557559967,0.8324402570724487,0.8192166090011597,0.0,0.0,0.0,0.0,0.0,0.0,0,0.806406557559967,0.8324402570724487,0.8192166090011597
"What character, voiced by Dan Castellaneta, starred in the second episode of the twenty-second season of The Simpsons?",0.0,27.516060407455225,0.0,0.0,0.0,0.0,0,0.9441255331039429,0.828559398651123,0.8825754523277283,0.0,27.516060407455225,0.0,0.0,0.0,0.0,0,0.9400166273117065,0.8242174386978149,0.8783166408538818,14.95348781221221,49.99999999999999,0.5,0.0,0.5,0.25,0,0.9253953695297241,0.832940936088562,0.8767375349998474
"Who was a part of S#arp, Lee Ji-hye or Curtis Wright?",31.6227766016838,100.00000000000004,1.0,1.0,1.0,0.9375,1,0.9999998211860657,0.9999998211860657,0.9999998211860657,6.985342056580097,8.392229812593097,0.4444444444444445,0.2857142857142857,0.4444444444444445,0.75,0,0.8880064487457275,0.9822000861167908,0.9327312111854553,6.985342056580097,8.392229812593097,0.4444444444444445,0.2857142857142857,0.4444444444444445,0.75,0,0.8880065083503723,0.9822001457214355,0.9327313303947449
To which professional American basketball team was a former Atlanta Hawks and Los Angeles Clippers player traded during a season for the Chicago Bulls in which they finished in last place in the Central Division?,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9393266439437866,0.8207275867462158,0.8760312795639038,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9370410442352295,0.916067361831665,0.9264355301856995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9337748289108276,0.9117173552513123,0.922614336013794
"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?",17.78279410038923,100.00000000000004,1.0,0.0,1.0,0.5,1,1.000000238418579,1.000000238418579,1.000000238418579,8.034284189446518,8.116697886877475,0.4,0.0,0.4,0.3846153846153847,0,0.7801122069358826,0.8617362976074219,0.8188952207565308,0.0,49.99999999999999,0.0,0.0,0.0,0.0,0,0.9888578653335571,0.9851576089859009,0.987004280090332
What did the USarmy seargant and convicted drug trafficker that was believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975 deny about Frank Lucas?,1.3217947626377298,2.445593937240363,0.10526315789473685,0.0,0.10526315789473685,0.09803921568627452,0,0.8638446927070618,0.90752774477005,0.8851475715637207,2.3980296761827105,4.196114906296549,0.15384615384615383,0.0,0.15384615384615383,0.11111111111111112,0,0.8798834085464478,0.9214427471160889,0.9001836180686951,0.8687475782716616,1.6466642419110007,0.07692307692307693,0.0,0.07692307692307693,0.3232758620689655,0,0.8508046269416809,0.9239562153816223,0.8858728408813477
"Andrew Martin Dober, is an American mixed martial artist who competes in the lightweight division for which American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG?",7.069301148938887,28.175950490399515,0.3333333333333333,0.25,0.3333333333333333,0.588888888888889,0,0.8356146812438965,0.9184431433677673,0.875073254108429,10.445522730720382,38.05803001674947,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.640096618357488,0,0.8385392427444458,0.9204913377761841,0.8776062726974487,39.76353643835253,36.06452879987789,0.75,0.6666666666666666,0.75,0.7361111111111112,0,0.9059696197509766,0.9038429260253906,0.9049050211906433
"Which song on Eminem's album ""The Marshall Mathers LP 2"" was featured in the New Zealand top 50 singles of 2013?",0.6980361417366381,1.0885011049519644,0.06896551724137931,0.0,0.06896551724137931,0.11111111111111113,0,0.773944616317749,0.8223432302474976,0.797410249710083,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7834619283676147,0.8621237874031067,0.8209127187728882,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0,0.7820475101470947,0.826400637626648,0.8036125898361206
 Are the Comx-35 and Sharp MZ both personal types of computers?,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9582698345184326,0.9166164398193359,0.9369804263114929,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9582699537277222,0.9166165590286255,0.9369805455207825,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9582699537277222,0.9166165590286255,0.9369805455207825
"Who, Diane Wilkins or Steven Spielberg, is considered one of the founding pioneers of the New Hollywood era?",10.785809837243004,42.88819424803536,0.8,0.0,0.8,0.3448275862068965,0,0.9642529487609863,0.907636284828186,0.9350883960723877,10.785809837243004,42.88819424803536,0.8,0.0,0.8,0.3448275862068965,0,0.9642529487609863,0.907636284828186,0.9350883960723877,10.785809837243004,42.88819424803536,0.8,0.0,0.8,0.3448275862068965,0,0.9642529487609863,0.907636284828186,0.9350883960723877
"Amy Lee and TISM, are related to which genre of music?",14.95348781221221,49.99999999999999,0.6666666666666666,0.0,0.6666666666666666,0.45454545454545453,0,0.8342053294181824,0.903778612613678,0.8675994277000427,0.0,27.516060407455225,0.0,0.0,0.0,0.0,0,0.868101179599762,0.847512423992157,0.8576832413673401,14.95348781221221,49.99999999999999,0.6666666666666666,0.0,0.6666666666666666,0.45454545454545453,0,0.8342055082321167,0.9037789106369019,0.8675996661186218
