,Title,Content
0,2015–16 Serie B,"The 2015–16 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 84th season since its establishment in 1929.  A total of 22 teams contested the league: 16 returning from the 2014–15 season, 4 promoted from Lega Pro, and 2 relegated from Serie A.  Vacancies created by the bankruptcy of Serie A-relegated Parma and the demotion of Catania to Lega Pro due to match fixing allowed Brescia to remain in the league despite being relegated.  Furthermore, Teramo was due to participate to Serie B but due to the allegations for match-fixing, the Courts decided to relegate Teramo in the last place of Lega Pro of the previous season.  After the demotion of Catania, Virtus Entella was readmitted into Serie B as the best team of the relegated teams from the previous season.  Furthermore, Ascoli was promoted into the championship after finishing second in Lega Pro Group B, second after Teramo before being stripped of the title for the match-fixing scandal."
1,2016–17 Serie A,"The 2016–17 Serie A (known as the Serie A TIM for sponsorship reasons) was the 115th season of top-tier Italian football, the 85th in a round-robin tournament, and the 7th since its organization under a league committee separate from Serie B.  Juventus were the defending champions.  The season ran from 20 August 2016 to 28 May 2017."
2,2011–12 Serie B,"The 2011–12 Serie B (known as the Serie bwin for sponsorship reasons) will be the eightieth season since its establishment in 1929.  A total of 22 teams will contest the league: 15 of which returning from the 2010–11 season, four of which promoted from Lega Pro Prima Divisione, and three relegated from Serie A.  It began on 27 August 2011 and will end on 27 May 2012."
3,2016–17 Serie B,"The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929.  A total of 22 teams were contesting the league: 15 returning from the 2015–16 season, 4 promoted from Lega Pro, and 3 relegated from Serie A."
4,2017–18 Serie B,"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929.  A total of 22 teams are contesting the league: 15 returning from the 2016–17 season, 4 promoted from Lega Pro, and 3 relegated from Serie A."
5,2009–10 Serie B,"The 2009–10 Serie B season is the seventy-eighth edition since its establishment in 1929.  Serie B, currently named Serie bwin due to sponsorship reasons, is the second-highest division in the Italian football league system after the Serie A.  It is contested by 22 teams and organized by the Lega Serie B since July 2010, after the split of Lega Calcio that previously took care of both the Serie A and Serie B."
6,2013–14 Serie B,"The 2013–14 Serie B (known as the Serie B Eurobet for sponsorship reasons) was the 82nd season since its establishment in 1929.  A total of 22 teams contested the league: 15 of which were returning from the 2012–13 season, 4 of which were promoted from Lega Pro Prima Divisione, and three relegated from Serie A."
7,2017–18 Serie A,"The 2017–18 Serie A (known as the Serie A TIM for sponsorship reasons) is the 116th season of top-tier Italian football, the 86th in a round-robin tournament and the 8th since its organization under a league committee separate from Serie B.  Juventus are the six-time defending champions.  The season will run from 19 August 2017 to 20 May 2018."
8,Serie B,"Serie B (] ), currently named Serie B ConTe.it due to sponsorship reasons, is the second-highest division in the Italian football league system after the Serie A.  It is contested by 22 teams and organized by the Lega Serie B since July 2010, after the split of Lega Calcio that previously took care of both the Serie A and Serie B. Common nicknames for the league are ""campionato cadetto"" and ""cadetteria"", as ""cadetto"" is the Italian for junior or cadet."
9,2012–13 Serie B,"The 2012–13 Serie B (known as the Serie bwin for sponsorship reasons) is the 81st season since its establishment in 1929.  A total of 22 teams will contest the league: 15 of which returning from the 2011–12 season, 4 of which promoted from Lega Pro Prima Divisione, and three relegated from Serie A.  Puma replaced Nike as manufacturer of the official Serie B match ball, a relationship that continues today."
10,Heath Robinson (codebreaking machine),"Heath Robinson was a machine used by British codebreakers at the Government Code and Cypher School (GC&CS) at Bletchley Park during World War II in Cryptanalysis of the Lorenz cipher.  This achieved the decryption of messages in the German teleprinter cipher produced by the Lorenz SZ40/42 in-line cipher machine.  Both the cipher and the machines were called ""Tunny"" by the codebreakers, who named different German teleprinter ciphers after fish.  It was mainly an electro-mechanical machine, containing no more than a couple of dozen valves (vacuum tubes), and was the predecessor to the electronic Colossus computer.  It was dubbed ""Heath Robinson"" by the Wrens who operated it, after cartoonist William Heath Robinson, who drew immensely complicated mechanical devices for simple tasks, similar to (and somewhat predating) Rube Goldberg in the USA."
11,Cryptonomicon,"Cryptonomicon is a 1999 novel by American author Neal Stephenson, set in two different time periods.  One group of characters are World War II-era Allied codebreakers and tactical-deception operatives affiliated with the Government Code and Cypher School at Bletchley Park (UK), and disillusioned Axis military and intelligence figures.  The second narrative is set in the late 1990s, with characters that are (in part) descendants of those of the earlier time period, who employ cryptologic, telecom and computer technology to build an underground data haven in the fictional Sultanate of Kinakuta.  Their goal is to facilitate anonymous Internet banking using electronic money and (later) digital gold currency, with a long-term objective to distribute Holocaust Education and Avoidance Pod (HEAP) media for instructing genocide-target populations on defensive warfare."
12,Enigma (2001 film),"Enigma is a 2001 espionage thriller film directed by Michael Apted from a screenplay by Tom Stoppard.  The script was adapted from the novel ""Enigma"" by Robert Harris, about the Enigma codebreakers of Bletchley Park in the Second World War."
