level,translated_question,translated_answer,translated_context,retrieved_context,final_answer,retriever_time,generator_time,total_time
easy,"سیری بی 2017 - 2017 (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹ) لیگ کا 86 واں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کر رہی ہیں: 15 2016 - 17 سیزن سے واپس آرہی ہیں ، 2016 - 17 سیری بی ، جو اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹٹ کے نام سے جانا جاتا ہے ، اور اس کے قیام کے بعد سے 85 واں سیزن تھا۔",1929ء میں,"لیگ میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 سیزن 2016 سے واپس آرہی ہیں ، 4 لیگ پرو سے ترقی یافتہ ہیں ، اور سیری اے سے 3 کو گرا دیا گیا ہے۔ سیری بی 2016 (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کنٹیکٹ کے نام سے جانا جاتا ہے) اس کے قیام کے بعد سے 85 واں سیزن تھا۔","سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی) کا مقابلہ کرنے والی لیگ کی 86 ویں سیزن ہے۔ اس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 2016 سے واپس آ رہی ہیں ، 4 لیگا پرو سے ترقی یافتہ ہیں ، اور 3 سیری اے سے نیچے گر چکے ہیں۔
۔ اس کا بڑا بھائی ، اساک برینسٹروم ، بھی ایک ایس ایچ ایل کھلاڑی ہے ، فی الحال ایچ ایچ ایل کے ساتھ۔ وہ 2017 کے این ایچ ایل داخلہ ڈرافٹ میں گولڈن نائٹس کے ذریعہ مجموعی طور پر 15 ویں نمبر پر منتخب کیا گیا تھا۔
۔ اس سیریز کو سارہ ڈن نے تخلیق کیا اور لکھا اور ہارون کیپلن ، کینی شوارٹز ، ریک وینر ، اور روبن فلیشر کے ساتھ شریک ایگزیکٹو پروڈیوسر ، کیپٹل انٹرٹینمنٹ اسٹوڈیوز کے ساتھ مشترکہ پروڈکشن۔ اس سیریز کا ایک پیش نظارہ 17 مئی ، 2016 کو جاری کیا گیا تھا","سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی) کا مقابلہ کرنے والی لیگ کی 86 ویں سیزن ہے اور اس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 2016 سے واپس آ رہی ہیں ، 4 لیگا پرو سے ترقی یافتہ ہیں ، اور 3 سیری اے سے نیچے گر چکے ہیں۔",0.105578899,20.72675705,20.83261132
easy,"""آکسفورڈ کالج کے ایک ساتھی ایلک نیلر ڈکن نے کہا کہ """"یہ ایک بہت ہی اہم مقام ہے جہاں برطانوی کوڈ بریکرز نے کام کیا ہے۔""""""",کرپٹوولوجسٹ,ایلکلر ڈکن (انگریزی: Alec Dakin) (۳ اپریل ۱۹۱۲ء - ۱۴ جون ٢٠٠٣ء) ایک برطانوی خفیہ کار اور خفیہ کار تھا۔ وہ بلچلی پارک میں خفیہ کاری کا ماہر تھا۔ بلچلی پارک دوسری جنگ عظیم کے دوران برطانوی خفیہ کاروں کے لیے مرکزی مقام تھا۔,"۔"""" اس کے بعد ، اس نے کہا ، """"بھاہائی مذہب کے بارے میں بات کرتے ہوئے ، ہم نے دیکھا کہ یہ ایک بہت ہی اہم بات ہے۔""""""
۔ یہ دونوں عنوانات کئی بار ذکر کیے گئے ہیں۔ لیکن یہ ناموں میں سے زیادہ اہم ہیں۔ """"مہرہ کے بیٹے"""" کے نام سے مشہور ہے۔ یہ نام کئی بار یاد کیا گیا ہے۔""
۔ انہوں نے کہا کہ عوامی ملکیت کی ضرورت کو ترجیح دی گئی ہے۔ انہوں نے کہا کہ یہ سوویت یونین کے ساتھ جنگ کی بجائے غریبوں کو بہتر بنانے کے لئے ہے۔""","""مہرہ کے بیٹے"" نے کہا ہے کہ یہ مقام ایک بہت اہم مقام ہے۔""",0.046769619,7.050065756,7.097343683
easy,"""جراسک پارک کے اداکار ڈیوڈ ہنری ہوانگ نے """"دی ڈے"""" کے لئے ایک فلم بنائی""",بی ڈی وانگ,"""جیرز زکس نے اس فلم کی ہدایت کاری کی تھی جس میں بی ڈی وانگ ، جین کرکوسکی ، مارک لن بیکر ، میا کورف اور جینا ٹورس نے اداکاری کی تھی۔ اس کے بعد سے ، اس نے """"اوز"""" پر فادر رے موکاڈا ، """"آویک"""" پر ڈاکٹر جان لی ، """"جراسک پارک"""" کی پہلی فلم میں ڈاکٹر ہنری وو ، اور چوتھی فلم ، """"جراسک ورلڈ"""" میں ننگو ننگوونگ جیگمی کے ساتھ اداکاری کی ہے۔""","۔ پی سی جی کے چیف ایڈیٹر ، جیریلڈ فلوری ، نے اس میگزین کو چرچ آف گاڈ کے """"دی پلین سچائی"""" کے جانشین کے طور پر بیان کیا ہے
""جیلین ٹائی کی آخری البم """"ڈانسنگ دیوا"""" نے اسے چارٹس میں سب سے اوپر پر لے لیا اور اسے گولڈن مینڈارن ایوارڈ سے نوازا
""بڈ ریپٹیشن"""" امریکی گلوکار فریڈی جانسٹن کا ایک گانا ہے ، جو اس کے بڑے لیبل ڈیبیو """"اس کامل دنیا"""" پر نمایاں ہے",جراسک پارک کے اداکار نے فلم نہیں بنائی,0.034298182,3.441184521,3.475482702
easy,"کون سا کردار ، ڈین کاسٹیلینیٹا کی آواز ، سمپسنز کے بیسویں سیزن کی دوسری قسط میں اداکاری کی؟",دادا سمپسن,"""سیمپسنز کے 22 ویں سیزن کی دوسری قسط """" لون اے لیزا """" میں ، لیزا نیلسن کی سائیکل کمپنی کو مالی اعانت فراہم کرنے میں مدد کرتی ہے ، لیکن جب نیلسن فیس بک کے بانی مارک زکربرگ سے ملتا ہے اور اس بات پر یقین کرتا ہے کہ وہ اسکول چھوڑ کر کامیاب ہوسکتا ہے تو لیزا نیلسن کو اسکول میں رہنے پر قائل کرنے کی کوشش کرتی ہے۔""","میسکویٹ وادی ، جو کلارک کاؤنٹی ، نیواڈا ، اور انیو کاؤنٹی ، اور سان برنارڈینو کاؤنٹی ، کیلیفورنیا میں واقع ہے
۔ اس فلم کی ہدایت کاری اسٹیو سیکلی نے کی تھی اور اس میں گیل پیٹرک اور نینسی کیلی نے مرکزی کردار ادا کیا تھا۔
لے لی تھی ، اور بعد میں بطور سیکرٹری استعفیٰ دے دیا تھا",ڈین کاسٹیلینیٹا نے سمپسنز کے بیسویں سیزن کی دوسری قسط میں کردار اداکاری کی ہے۔,0.040917397,6.48806715,6.528984547
easy,"کون تھا ایک حصہ S#arp، لی Ji-hye یا کرٹس رائٹ؟",لی جی ہے,"لی جی ہیو (پیدائش 11 جنوری ، 1980) ایک جنوبی کوریائی گلوکارہ اور اداکارہ ہیں۔ وہ پاپ گروپ ایس آر پی کی سابقہ رکن تھیں۔ کرٹس بلیئن رائٹ جونیئر (پیدائش 6 جون ، 1955 ، ہینٹنگڈن ، پنسلوانیا) ایک امریکی کنٹری میوزک آرٹسٹ ہے۔","۔ وہ آرکیٹیکچرل طور پر منفرد ضلع لا رو میں رہتی ہیں۔
ڈارلنگ بڈس آف مئی راک بینڈ فالٹر کا پہلا البم ہے۔
۔ اس میں تین ٹیمیں حصہ لیتی ہیں۔ ان میں سے تین ٹیمیں ہیوسٹن راکٹس، میامی ہیٹ اور فلاڈیلفیا سیونرز شامل ہیں۔",وہ لی Ji-hye تھی۔,0.045822382,1.939205885,1.985028267
easy,"امریکی باسکٹ بال ٹیم نے اس سال کے آخر میں شکاگو بلز کے لئے ایک سابق اٹلانٹا ہاکس اور لاس اینجلس کلیپرز کھلاڑی کو تبدیل کر دیا تھا، جس میں انہوں نے سینٹرل ڈویژن میں آخری جگہ پر ختم کیا.",نیو یارک نکس,"2003-04 NBA سیزن نیشنل باسکٹ بال ایسوسی ایشن میں بلز کا 38 واں سیزن تھا۔ تاہم ، انہوں نے سنٹرل ڈویژن میں 23-59 ریکارڈ کے ساتھ آخری مقام حاصل کرنے کے لئے جدوجہد جاری رکھی ، چھٹے مسلسل سیزن کے لئے پلے آف سے محروم ہوگئے۔ ہارون جمال کرافورڈ (پیدائش 20 مارچ ، 1980) نیشنل باسکٹ بال ایسوسی ایشن (این بی اے) کے مینیسوٹا ٹمبر وولوز کے لئے ایک امریکی پیشہ ور باسکٹ بال کھلاڑی ہے۔ اپنے کیریئر میں ، انہوں نے نیو یارک نکس ، گولڈن اسٹیٹ وارئرز ، اٹلانٹا ہاکس ، پورٹلینڈ ٹریل بلیزرز اور لاس اینجلس کلیپرز کے لئے بھی کھیلا ہے۔","۔ اگرچہ کنزرویٹو امیدوار بورس جانسن نے میئر کے انتخابات میں کامیابی حاصل کی ، لیکن اسمبلی کے انتخابات نے لندن اسمبلی کے آغاز کے بعد سے لیبر پارٹی کا بہترین نتیجہ حاصل کیا۔
اینگل بارٹ کا قانون انسانی کارکردگی کی شرح کو بڑھانے کے لئے ایک اہم اصول ہے، جو ڈگلس اینگل بارٹ کے نام پر رکھا گیا ہے، جس نے انسانی کارکردگی کو بڑھانے کے لئے کام کیا تھا.
۔ لوکاس نے فخر کیا کہ اس نے مردہ امریکی فوجیوں کے تابوتوں کا استعمال کرتے ہوئے ہیروئن اسمگل کی ، لیکن اس دعوے کی تردید اس کے جنوب مشرقی ایشیائی ساتھی لیسلی ""ایک"" اٹکنسن نے کی تھی۔","امریکی باسکٹ بال ٹیم نے شکاگو بلز کے لئے ایک سابق اٹلانٹا ہاکس اور لاس اینجلس کلیپرز کھلاڑی کو تبدیل کر دیا تھا، جس میں انہوں نے سینٹرل ڈویژن میں آخری جگہ پر ختم کیا۔",0.060977459,15.29073954,15.351717
easy,"لیٹروب بریوری کمپنی ، جو 1839 میں قائم ہوئی تھی ، ریاستہائے متحدہ میں سب سے بڑی بریوریوں میں سے ایک تھی اور ""رولنگ راک"" بیئر کی صنعت کار تھی ، جو بعد میں 2004 میں ضم ہوگئی ، جس میں بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کی بریور ایم بیوی کے مابین انضمام کا نتیجہ نکلا۔",انبیوی,"ان بیئر کو 1987 میں لیبٹ بریونگ کمپنی نے خریدا تھا ، جو 1995 میں بیلجئیم کی بریونگ کمپنی انٹر بریو نے خریدی تھی ، جو بعد میں 2004 میں ان بیور میں ضم ہوگئی۔ ان بیور ایک بریونگ کمپنی تھی جو بیلجئیم میں مقیم کمپنی انٹر بریو اور برازیل کی بریور ایم بیور کے مابین انضمام کا نتیجہ تھی۔","انبیوی ایک بریوری کمپنی تھی جو بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کے بریور امبیوی کے مابین انضمام کے نتیجے میں پیدا ہوئی تھی ، جو 2004 میں اینہوسر-بوش کے حصول تک آزادانہ طور پر موجود تھی
لیٹروب بریوری کمپنی ، جو 1839 میں قائم ہوئی تھی ، ریاستہائے متحدہ میں سب سے بڑی بریوریوں میں سے ایک تھی اور اس نے اپنی چھوٹی سبز بوتلوں کے لئے مشہور رولنگ راک بیئر تیار کیا تھا
۔ ان سینڈوچوں کو بالآخر برگر بڈیز کے نام سے ایک دوبارہ تیار کردہ مصنوعات سے تبدیل کردیا گیا تھا جو جوڑوں میں فروخت کیا گیا تھا۔ 2004 میں انتظامیہ میں تبدیلی کے بعد ، بڈیز کو بی کے برگر شاٹس کے نام سے دوبارہ جاری کیا گیا تھا۔","انٹر بریور ایک کمپنی نہیں تھی، بل्कہ یہ انبیوی بریوری کمپنی کا نام ہے جو بیلجیم میں مقیم اور برازیل کی بریور امبیوی سے انضمام کا نتیجے میں پیدا ہوئی تھی۔",0.094068527,12.78942204,12.88349056
easy,امریکی فوج کے ایک افسر اور منشیات کے اسمگلنگ کے مجرم کے بارے میں کیا خیال کیا جاتا ہے کہ وہ 1968 سے 1975 تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کرتے تھے؟,وہ ہیروئن کی اسمگلنگ کے لئے استعمال کیا جاتا ہے.,"""لوکاس نے کہا کہ وہ مردہ امریکی فوجیوں کے تابوتوں کا استعمال کرتے ہوئے ہیروئن کی اسمگلنگ کرتا تھا ، لیکن اس دعوے کی تردید اس کے جنوب مشرقی ایشیائی ساتھی لیسلی """"آئی کے"""" اٹکنسن نے کی ہے۔ لیسلی """"آئی کے"""" اٹکنسن (19 نومبر 1925 - 11 نومبر 2014) امریکی فوج کے ماسٹر سارجنٹ اور مجرم منشیات فروش تھے ، جن کے بارے میں خیال کیا جاتا ہے کہ وہ 1968 سے 1975 تک جنوب مشرقی ایشیا سے ریاستہائے متحدہ میں ہیروئن کی اسمگلنگ میں اہم شخصیت تھے۔""","سناترا فیملی آپ کو ایک میری کرسمس کی خواہش کرتا ہے ، ایک کرسمس البم جو فرینک سناترا نے 1968 میں جاری کیا تھا ، جس میں ان کے بچوں ، فرینک سناترا جونیئر ، نینسی سناترا اور ٹینا سناترا نے بھی حصہ لیا۔
۔ ایک سابق پولیس اہلکار ، وہ 1968 سے انگریزی لوک کلبوں میں پرفارم کر رہا ہے اور اسے ""دی گارڈین"" نے ""مفرد طور پر آرام دہ گانے کا انداز"" کے طور پر بیان کیا ہے۔
کیلیفورنیا سیلز ، اوکلینڈ سیلز ، اور کیلیفورنیا گولڈن سیلز کے کوچوں کی فہرست۔ آٹھ مردوں نے 1967-1968 کے لئے ان کی تخلیق سے سیلز کی کوچنگ کی جب تک کہ ٹیم 1975-1976 کے بعد کلیولینڈ ، اوہائیو منتقل نہیں ہوگئی",نہیں,0.060387373,1.487940788,1.548328161
easy,"اینڈریو مارٹن ڈوبر ، ایک امریکی مخلوط مارشل آرٹسٹ ہے جو ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے جس کے لئے امریکی مخلوط مارشل آرٹس تنظیم لاس ویگاس ، نیواڈا میں مقیم ہے ، جو والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلتی ہے۔",الٹی میٹ فائٹنگ چیمپئن شپ (UFC),"اینڈریو مارٹن ڈوبر (پیدائش 19 اکتوبر ، 1988) ایک امریکی مخلوط مارشل آرٹسٹ ہے جو الٹیمیٹ فائٹنگ چیمپئن شپ کے لئے ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے۔ الٹیمیٹ فائٹنگ چیمپئن شپ (یو ایف سی) لاس ویگاس ، نیواڈا میں مقیم ایک امریکی مخلوط مارشل آرٹس تنظیم ہے ، جو والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلتی ہے۔","۔ آؤٹ لا کنٹری لیجنڈز ویلن جیننگس اور ولی نیلسن کو ٹیکساس کی مخصوص آواز سے منسلک کیا گیا ہے ، جبکہ مرحوم اوکلاہوما گلوکار اور گانا لکھنے والے باب چائلڈرز کو اوکلاہوما ریڈ ڈرتھ میوزک کا باپ سمجھا جاتا ہے۔
۔ اس میں کوبین اور صحافی مائیکل ایزرراڈ کے مابین انٹرویو کی آڈیو شامل ہے ، جو اس کتاب کے لئے کیا گیا تھا ، جس میں ان مقامات کی ماحول کی سنیما گرافی پر سیٹ کیا گیا ہے جن کو کرٹ کوبین نے اپنا گھر کہا ، بنیادی طور پر ایبرڈین ، اولمپیا اور سیئٹل
سوئٹزرلینڈ کی مرچنٹ میرین ایک غیر ملکی ملک کی سب سے بڑی مرچنٹ میرین ہے جو سمندر کے اندر ہے ، اور اس کے بحری جہازوں اور دریاؤں پر ، اور کھلے سمندر پر ، غیر ملکی نیویگیشن کی ایک طویل روایت ہے۔",مرچنٹ میرین ایک غیر ملکی ملک نہیں بلکہ سویسٹرلینڈ کا نام ہے۔,0.058787823,6.659639597,6.71842742
easy,ایمینم کے البم مارشل میتھرز ایل پی 2 پر کون سا گانا نیوزی لینڈ کے ٹاپ 50 سنگلز میں شامل تھا؟,راکشس,"نیوزی لینڈ کے سب سے اوپر 50 سنگلز میں شامل چار گانے: کیٹی پیری کے گانے ""روئر"" اور ""ڈارک ہارس"" ، ایڈ شیران کے ""میں آگ دیکھتا ہوں"" ، ایمینم کے ""دی مونسٹر"" اور پٹ بل کے ""ٹیمبر""۔ ""دی مونسٹر"" امریکی ریپر ایمینم کا ایک گانا ہے ، جس میں بارباڈوس کے گلوکارہ ریہانا کی مہمان آوازیں شامل ہیں ، جو ایمینم کے البم ""دی مارشل میتھرز ایل پی 2"" (2013) سے لیا گیا ہے۔","۔ ان فروخت کے اعداد و شمار میں ان دونوں البمز پر مشتمل باکس سیٹس کی فروخت کا 50 فیصد شامل ہے۔
۔ یہ البم ایک دہائی کے 50 سب سے اہم ریکارڈنگ میں سے ایک کے طور پر درج کیا گیا تھا ، نیشنل پبلک ریڈیو کے """"آل گیمز پر غور کیا گیا.""""""
۔ اسکول نے حال ہی میں 50 ملین ڈالر کی تزئین و آرائش کا منصوبہ شروع کیا ہے۔","ماپے البم میں گانا ""ہے"" نہیں تھا۔",0.044268847,3.867459774,3.911728621
