reference,vanilla_RAG_prediction,vanilla_RAG_bleu,vanilla_RAG_sacrebleu,vanilla_RAG_rouge1,vanilla_RAG_rouge2,vanilla_RAG_rougeL,vanilla_RAG_meteor,vanilla_RAG_bert_precision,vanilla_RAG_bert_recall,vanilla_RAG_bert_f1,vanilla_RAG_exact_match,LQR_prediction,LQR_bleu,LQR_sacrebleu,LQR_rouge1,LQR_rouge2,LQR_rougeL,LQR_meteor,LQR_bert_precision,LQR_bert_recall,LQR_bert_f1,LQR_exact_match,modLQR_prediction,modLQR_bleu,modLQR_sacrebleu,modLQR_rouge1,modLQR_rouge2,modLQR_rougeL,modLQR_meteor,modLQR_bert_precision,modLQR_bert_recall,modLQR_bert_f1,modLQR_exact_match,
1929ء میں,"سیریز بی (اسپانسرشپ کی وجوہات کی بناء پر سیریز بی کونٹینینٹ) لیگ کا 86 واں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 2016 - 17 سیزن سے واپس آرہی ہیں ، 4 لیگا پرو سے آئی ہیں اور 3 کو پچھلے سیزن میں سیریز اے کے طور پر درجہ بندی کیا گیا تھا۔",0.298923272,0.565775966,0.031746032,0,0.031746032,0.060240964,0.732472718,0.859139562,0.790765822,0,"جی ہاں، سیاق و سباق درست ہے. سیریز بی (سپانسرشپ کی وجوہات کی بنیاد پر سیریز بی کونٹنت) کا مقابلہ کرنے والی لیگ کا 86 واں سیزن ہے، جس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 پچھلے سیزن (2016-17) سے واپس آئے ہیں، 4 لیگ پرو سے ترقی یافتہ ہوئے ہیں، اور 3 سیریز اے سے نیچے گر گئے ہیں.",0.284570245,0.494540735,0.03030303,0,0.03030303,0.054347826,0.741969109,0.867332518,0.799767971,0,سیریز بی ایک فٹ بال لیگ ہے جو اٹلی میں مقامی سطح کی ٹیموں کا احاطہ کرتی ہے۔,1.080231489,2.147691209,0.1,0,0.1,0.135135135,0.789571822,0.861124992,0.823797584,0,
کرپٹوولوجسٹ,"اوکسفورڈ کالج کے ایک ساتھی، الیکس نیلر-ڈکن نے کچھ بڑی اہمیت کے مقام پر برطانوی کوڈ ٹوٹنے والوں کے کام کی تعریف کی ہے. تاہم ، سوال میں ان کی تجویز کردہ سیاق و سباق یونیورسٹی آف اسٹینفورڈ اور اسٹینفورڈ گریجویٹ اسکول آف بزنس اور اسٹینفورڈ لا اسکول کا کوئی تعلق نہیں ہے جس میں ریچر کام کر رہا ہے ، کیونکہ یہ وضاحت نہیں کرتا ہے کہ ان دونوں سیاق و سباق کا کوئی تعلق ہے اور اس سوال میں پوری طرح سے مطابقت نہیں رکھتا ہے۔",0,0,0,0,0,0,0.767388582,0.824245214,0.794801414,0,"""آکسفورڈ کالج کے ایک ساتھی ، ایلک نیلر ڈکن ، اس بات پر زور دیتے تھے کہ برطانوی کوڈ فریکرز نے ریچر کی قیادت میں تشکیل شدہ مرکزی حیثیت والے پروگراموں اور پلیٹ فارمز کا ایک پیچیدہ نیٹ ورک پیدا کرنے میں بڑا کردار ادا کیا ہے جس نے جدید کمپیوٹر سائنس کی ترقی کو آگے بڑھایا ہے۔",0,0,0,0,0,0,0.782680631,0.827233315,0.804340541,0,"برطانوی کوڈ بریکرز کی طرف سے کام کرنے والا ایک اہم مقام آکسفورڈ کالج تھا ، جس میں ایلک نیلر ڈکن کا ذکر کیا گیا تھا۔",0,0,0,0,0,0,0.803475261,0.832933962,0.81793946,0,
بی ڈی وانگ,"""جراسک پارک کے اداکار ڈیوڈ ہوانگ نے فلم ""دی ڈے"" کے لئے ایک فلم بنائی تھی ، جس میں وہ مرکزی کردار بھی ادا کر رہے تھے اور یہ فلم یونائیٹڈ آرٹسٹس نے ریلیز کی تھی جو ان کے والد ڈینیئل ایس زیبرگ کو پروڈیوس کرتے تھے۔ ""دی ڈے"" والٹر ونجر، مائلس کونولی اور کیتھرین سکوولا کی مشترکہ تخلیق کردہ فلم کا عنوان تھا جو پیدل چلنے کے سفر پر ایک خاندان کو نشانہ بناتا ہے، جس میں بچوں اور بڑوں کے ساتھ آنے والی مشکلات کے لئے ٹیلی ویژن کی تکنیکی ترقی کے استعمال کو ظاہر کرنے کے ساتھ ایک نوجوان بچے کا نقطہ نظر ہوتا ہے۔ ڈیوڈ ہنانگ نے اس فلم میں چارلس فرینک نامی کردار ادا کیا، جس میں ان کے والدین ڈینیئل زیبرگ اور لوری مٹکاف بھی شامل تھے۔",0,0,0,0,0,0,0.731453419,0.840132356,0.782035172,0,"میری جان، میرا مشورہ ہے کہ آپ ""دی ڈے"" فلم کے بارے میں اپنی تحقیق کریں تاکہ ان اعداد و شمار کو دیکھ سکیں جو آپ نے پیش کیے ہیں. یہاں مجھے متعلقہ معلومات نظر نہیں آتی۔",0,0,0,0,0,0,0.787519872,0.867927253,0.825770795,0,"""جراسک پارک"" فلم ""دی ڈے"" کے لئے ایک شاندار، مضمون اور غیر حقیقی سیاق و سباق فراہم کرتی ہے. اس سوال کی درست جوابی صورت یہ ہوگی: 

فلم ""جراسک پارک"" کے اداکار اور پروڈیوسر، والٹر ونجر نے فلم ""دی ڈے"" میں ایک کردار ادا کیا ہے.",0,0,0,0,0,0,0.747985959,0.851264477,0.796290398,0,
دادا سمپسن,"ڈین کاسٹیلانیٹا ایک پروڈیوسر، ہدایت کار، سنیماٹوگرافر اور اداکار ہے. وہ فلم ""کلائماکس"" میں شرلوک ہومز کے کردار میں اداکاری کر رہے تھے۔",0,0,0,0,0,0,0.770279288,0.830654144,0.799328268,0,"ڈین کاسٹیلینیٹا 2019 میں ایک چھوٹی سی کردار ادا کر رہے تھے جب وہ فلم ""کلائماکس"" میں ایک افریقی مزدور کا کردار ادا کر رہے تھے، جو بانڈ کی ناولوں سیریز کو موافقت دیتا ہے۔",0,0,0,0,0,0,0.757485688,0.829913139,0.792047143,0,ڈینیئل کاسٹیلینوٹا سمپسنز کے بیسویں سیزن میں پرتگالی ڈیول لارنس کو آواز دیتے ہوئے اداکاری کر رہے تھے۔,0,0,0,0,0,0,0.775933027,0.856276989,0.814127564,0,
لی جی ہے,"تھریڈز # تیسری قسم کا فنکشن ہے جسے سولر آپٹیمائزیشن الگورتھم کے لئے استعمال کیا جاسکتا ہے۔ اس طرح ، پٹری کا ایک حصہ تیسری قسم کی فنکشن ہوسکتا ہے جو سولر آپٹیمائزیشن الگورتھم کے لئے استعمال کیا جاسکتا ہے۔",0.462085691,0.91870806,0.046511628,0,0.046511628,0.072463768,0.752049446,0.835907698,0.791764379,0,"بلاک بسٹر فلم ""جیامندی را"" کی ہدایتکاری کرتھس رائٹ نے کی تھی ، جبکہ ایک حصہ پی پی نام سے جانا جاتا تھا اور وہ اس فلم میں ولن تھے۔",0,0,0,0,0,0,0.773094296,0.848934531,0.809241414,0,"اس سیاق و سباق سے ، یہ معلوم ہوتا ہے کہ ملوکیت کی ایک نئی اصطلاح ""پیرائی"" استعمال کی گئی ہے جس میں تین اداکاروں کا حوالہ دیا گیا ہے: سانگ-کیو لیپ ، جے دیو اور پی پی۔",0.487428629,0.895430728,0.048780488,0,0.048780488,0.072463768,0.798693299,0.852848768,0.824883163,0,
نیو یارک نکس,لاس اینجلس کلیپرز نے شکاگو بلز میں ایک سابق کیلیفورنیا اکیڈمی کے ڈیوک جیمز نکولس کو 1999 کے این بی اے ڈرافٹ میں پہلے انتخاب کے طور پر منتخب کرنے کے بعد 2013 میں چھوڑ دیا تھا۔,0,0,0,0,0,0,0.745528281,0.86465013,0.800682843,0,"لاس اینجلس کلیپرز نے ایک سابق امریکی باسکٹ بال ٹیم کے کھلاڑی کو لاس اینجلس کلیپرز ، اور شکاگو بلز میں منتقل کردیا تھا جس نے سینٹرل ڈویژن میں آخری جگہ حاصل کی تھی۔",0,0,0,0,0,0,0.762629509,0.857309103,0.807202518,0,"اس سال کے آخر میں ، امریکی باسکٹ بال ٹیم نے شکاگو بلز نے سینٹرل ڈویژن کی آخری پوزیشن میں ختم کرنے والے ایک سابق اٹلانٹا ہاکس اور لاس اینجلس کلیپرز کھلاڑی کو حاصل کرنے کے تبادلے پر بات چیت کی ، جبکہ 1999 ء کے این بی اے ڈرافٹ میں شکاگو بلز نے پہلے سے 2004 میں کنکورڈیا-آئرون کالج میں کالج باسکٹ بال کا اپنا آخری سیزن مکمل کرنے والے جیمز نکولس وانڈر لین کا انتخاب کیا تھا۔",0,0,0,0,0,0,0.737822115,0.867395163,0.797379136,0,
انبیوی,"انبیوی ایک بیلجیئم کی بریوری کمپنی ہے، جو 2004 میں اینہوسر-بوش کے حصول تک موجود تھی اور اس نے رولنگ راک بیئر تیار کرنے کے لئے لیٹروب بریوری کمپنی کو ضم کیا. ڈنلوپ ٹائر ایک برانڈ ہے جو مختلف ممالک میں مختلف کمپنیوں کی ملکیت ہے اور اس کی بنیاد 1889 میں رکھی گئی تھی۔",0.332461289,0.648858383,0.035714286,0,0.035714286,0.075757576,0.722851634,0.875591695,0.791924119,0,"انبیوی ایک بریوری کمپنی تھی جس کا قیام بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کی بریور امبیوی کے مابین 2004 کے ضم ہونے سے منسوب کیا گیا تھا ، جبکہ اینووسر-بوچ اس وقت موجود ایلٹروب بریوری کمپنی تھی جو ریاستہائے متحدہ میں سب سے بڑی تھی اور مشہور رولنگ راک بیئر تیار کرتی تھی۔ ڈنلوپ ایک ٹائر برانڈ تھا جو مختلف کمپنیوں کے ذریعہ منظم کیا گیا تھا ، جس کی بنیاد انگلینڈ میں نیومیٹک ٹائروں کے ماہر جان بوڈ ڈنلوپ نے رکھی تھی۔",0.210465692,0.41844301,0.022988506,0,0.022988506,0.051546392,0.707358599,0.87353009,0.781710923,0,"لیٹروب بریوری کمپنی ایک بیلجیم کمپنی تھی جس نے ""رولنگ راک"" بیئر تیار کی، اور اس کا 2004 میں ضم ہو گیا تھا ، جو انٹر بریور اور ایمبیوی کے مابین امتزاج سے پیدا ہوا تھا۔",0,0,0,0,0,0,0.741119325,0.882133126,0.805501223,0,
وہ ہیروئن کی اسمگلنگ کے لئے استعمال کیا جاتا ہے.,امریکہ میں لیزلی ایٹکنسن کو 1968 سے 1975 تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ کرنے کے لیے ایک اہم کردار ادا کرنے والے میں سے ایک سمجھا جاتا تھا۔,3.392268781,5.072624987,0.243902439,0.102564103,0.243902439,0.340458015,0.841470122,0.915586352,0.876965046,0,"امریکہ کے ماسٹر سارجنٹ لیزلی اٹکنسن کو امریکی محکمہ خزانہ نے ""نارتھ ویلی کارٹیل"" کے رہنماؤں میں سے ایک کے طور پر بیان کیا ہے جس کا تعلق 1968 اور 1975 کے درمیان جنوب مشرقی ایشیا سے کوکین کی اسمگلنگ سے تھا۔ بڑے پیمانے پر اسکارٹ ایٹکنسن نے اپنی خدمات کے لئے اتنا شہرت حاصل کی کہ انہیں امریکی فوج میں کرنل جارج لیونارڈ اینڈریوز اور جنرل جارج بی میک کلین کی توجہ اپنی طرف مبذول ہوئی۔",0.744904632,1.428125296,0.114942529,0.047058824,0.091954023,0.236882716,0.787492156,0.903201818,0.84138751,0,"لیزلی اٹکنسن 1925-2014 ء) ایک امریکی فوجی افسر اور منشیات فروش تھا. ان پر خیال کیا جاتا ہے کہ وہ تقریبا 1968 سے 1975 تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کر رہا تھا۔ ""نارتھ ویلی کارٹیل"" کے رہنما میں سے ایک کے طور پر ، وہ اپنی منشیات کی اسمگلنگ کے علاوہ دیگر جرم و جرائم میں بھی ملوث تھا۔ ان کے اعمال نے باغی گروپ اور اعلیٰ فوجی افسران دونوں کو اپنی طرف متوجہ کیا ، جن میں سے آخر کار جارج بی میک کلین شامل تھے۔",1.663171373,2.910165528,0.134615385,0.078431373,0.115384615,0.317211055,0.80851841,0.9302302,0.865114391,0,
الٹی میٹ فائٹنگ چیمپئن شپ (UFC),"اینڈریو مارٹن ڈوبر ایک امریکی مخلوط مارشل آرٹسٹ ہیں ، ان کا تعلق لاس ویگاس ، نیواڈا سے ہے۔ وہ امریکی مخلوط مارشل آرٹس تنظیم میں مقابلہ کر رہے ہیں، جس کی ملکیت اور آپریشن والدین کمپنی ڈبلیو ایم ای ایم جی کرتا ہے۔ وہ 1988 ء میں پیدا ہوئے اور لائٹ ویٹ ڈویژن میں مقابلہ کرتے رہتے ہیں۔",0,0,0,0,0,0,0.789845943,0.83709991,0.812786698,0,"اینڈریو مارٹن ڈوبر ایک امریکی مخلوط مارشل آرٹسٹ ہے جس کی پیدائش 19 اکتوبر ، 1988 کو ہوئی ، جو الٹیمیٹ فائٹنگ چیمپئن شپ میں ہلکے وزن کے ڈویژن میں مقابلہ کرتی ہے۔ وہ امریکی مخلوط مارشل آرٹس تنظیم لاس ویگاس، نیواڈا میں مقیم ہیں اور والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلاتے ہیں۔",1.558024997,2.32979078,0.09375,0.064516129,0.09375,0.2213868,0.805919826,0.88049072,0.841556549,0,"لاس ویگاس، نیواڈا میں مقیم امریکی مخلوط مارشل آرٹس تنظیم کے لئے اینڈریو مارٹن ڈوبر ایک چھوٹی سی کمپنی ہے جو والدین کی کمپنی ڈبلیو ایم ای ایم جی کے زیر انتظام اور چلتی ہے۔",0,0,0,0,0,0,0.791283607,0.827604473,0.809036553,0,
راکشس,ایمینم کے البم مارشل میتھرز ایل پی 2 پر شامل گانا نیوزی لینڈ کے ٹاپ 50 سنگلز میں 'ٹائمر' شامل تھا۔,0,0,0,0,0,0,0.755602598,0.851292968,0.800598621,0,"اپنے سوال میں بیان کردہ سیاق و سباق کی بنیاد پر ، ایمینم کے البم مارشل مین نے نیوزی لینڈ ٹاپ 50 سنگلز چارٹ میں گانا ""میرا"" شامل کیا تھا۔",0,0,0,0,0,0,0.742763877,0.84732008,0.791604459,0,"ایمینم کے البم مارشل میتھرز ایل پی 2 پر گانا ""ٹیمر"" نیوزی لینڈ ٹاپ 50 سنگلز میں شامل تھا۔",0,0,0,0,0,0,0.756627381,0.851170003,0.80111903,0,
