query,ground_truth_context,simple_rag_faithfulness,simple_rag_answer_relevancy,simple_rag_context_recall,simple_rag_context_precision,simple_rag_entity_recall,lqr_rag_faithfulness,lqr_rag_answer_relevancy,lqr_rag_context_recall,lqr_rag_context_precision,lqr_rag_entity_recall,modlqr_rag_faithfulness,modlqr_rag_answer_relevancy,modlqr_rag_context_recall,modlqr_rag_context_precision,modlqr_rag_entity_recall
"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929, a total of 22 teams are contesting the league: 15 returning from the 2016–17 season, The 2016–17 Serie B, known as the Serie B ConTe.it for sponsorship reasons, and was the 85th season since its establishment in, what year?"," A total of 22 teams are contesting the league: 15 returning from the 2016–17 season, 4 promoted from Lega Pro, and 3 relegated from Serie A. The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929.",0.4438752233982086,0.4375762939453125,0.6666666666666666,0.8571428571428571,0.3,0.23772314190864563,0.21416740119457245,0.6666666666666666,0.8571428571428571,0.3,0.23772314190864563,0.21416740119457245,0.6666666666666666,0.8571428571428571,0.3
"What specialism did Alec Naylor Dakin, fellow of Oxford College, pursue at Bletchley Park during the second World War; a central site for British codebreakers?","Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster. Bletchley Park was the central site for British codebreakers during World War II.",0.37093257904052734,0.24308758974075317,0.8,0.3076923076923077,1.0,0.3809281289577484,0.22607409954071045,0.6,0.23076923076923078,0.875,0.4226069450378418,0.24308758974075317,0.6,0.23076923076923078,0.875
Which actor from Jurassic Park assisted David Henry Hwang direct his 1993 play," It was directed by Jerry Zaks, with B. D. Wong, Jane Krakowski, Mark Linn-Baker, Mia Korf, and Gina Torres in the cast.  He has since gained more notability for playing the roles on """", Father Ray Mukada on ""Oz"", Dr. John Lee on ""Awake"", Dr. Henry Wu in the first ""Jurassic Park"" film as well as the fourth entry, ""Jurassic World"", and Ngapoi Ngawang Jigme in the film ""Seven Years in Tibet"".  As of August 13, 2017, Wong is the host of the new HLN medical documentary series ""Something's Killing Me With BD Wong"".",-0.029135575518012047,-0.012284338474273682,0.6666666666666666,0.2222222222222222,0.0,0.17995190620422363,0.14509885013103485,0.6666666666666666,0.16666666666666666,0.0,0.17995190620422363,0.14509885013103485,0.6666666666666666,0.16666666666666666,0.0
"What character, voiced by Dan Castellaneta, starred in the second episode of the twenty-second season of The Simpsons?","""Loan-a Lisa"" is the second episode of ""The Simpsons""' twenty-second season.  In the episode, Lisa helps fund Nelson's bicycle company with money Grampa Simpson gives her as part of his inheritance, but after Nelson meets Facebook founder Mark Zuckerberg and is convinced he can be successful by dropping out of school, Lisa tries to convince Nelson to stay in school.  Voiced by Dan Castellaneta, he is the father of Homer Simpson and the grandfather of Bart, Lisa and Maggie Simpson.",0.4016788601875305,0.35526904463768005,0.25,0.1,0.5,0.5014073848724365,0.4600728154182434,0.25,0.1,0.4,0.5240234136581421,0.4614431858062744,0.25,0.1,0.4
"Who was a part of S#arp, Lee Ji-hye or Curtis Wright?","Lee Ji-hye (born January 11, 1980) is a South Korean singer and actress.  She was former member of pop group S#arp. Curtis Blaine Wrightt Jr. (born June 6, 1955 in Huntingdon, Pennsylvania) is an American country music artist.",0.6244559288024902,0.6128909587860107,0.5,0.14285714285714285,0.375,0.7466734647750854,0.853277325630188,0.5,0.1111111111111111,0.375,0.7466734647750854,0.853277325630188,0.5,0.1111111111111111,0.375
To which professional American basketball team was a former Atlanta Hawks and Los Angeles Clippers player traded during a season for the Chicago Bulls in which they finished in last place in the Central Division?,"The 2003–04 NBA season was the Bulls' 38th season in the National Basketball Association.  However, they continued to struggle finishing last place in the Central Division with a 23–59 record, missing the playoffs for the sixth straight season. Aaron Jamal Crawford (born March 20, 1980) is an American professional basketball player for the Minnesota Timberwolves of the National Basketball Association (NBA).  In his career, he has also played for the New York Knicks, Golden State Warriors, Atlanta Hawks, Portland Trail Blazers and Los Angeles Clippers.",0.044131919741630554,0.1147191971540451,0.2,0.1111111111111111,0.06666666666666667,0.4003641605377197,0.5818934440612793,0.2,0.1,0.06666666666666667,0.5420259237289429,0.6442089676856995,0.2,0.1,0.06666666666666667
"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?"," It was purchased by Labatt Brewing Company in 1987, which in turn was purchased in 1995 by the Belgian brewing conglomerate corporation Interbrew, which merged later into InBev in 2004. InBev was a brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev which took place in 2004.",0.5254786014556885,0.33195048570632935,1.0,0.7692307692307693,0.6,0.6589978337287903,0.49782899022102356,1.0,0.7692307692307693,0.6,0.4639577567577362,0.32093125581741333,1.0,0.7692307692307693,0.6
What did the USarmy seargant and convicted drug trafficker that was believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975 deny about Frank Lucas?," Lucas boasted that he smuggled heroin using the coffins of dead American servicemen, but this claim is denied by his South East Asian associate, Leslie ""Ike"" Atkinson. Leslie ""Ike"" Atkinson (November 19, 1925 – November 11, 2014) was a US Army master sergeant and convicted drug trafficker, believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975.",0.48804765939712524,0.5382789373397827,0.8,0.4444444444444444,0.36363636363636365,0.5920251607894897,0.6571847200393677,0.6,0.3333333333333333,0.2727272727272727,0.6689060926437378,0.7749930024147034,0.6,0.3333333333333333,0.2727272727272727
"Andrew Martin Dober, is an American mixed martial artist who competes in the lightweight division for which American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG?","Andrew Martin Dober (born October 19, 1988) is an American mixed martial artist who competes in the lightweight division for the Ultimate Fighting Championship. The Ultimate Fighting Championship (UFC) is an American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG.",0.8534996509552002,0.7609074711799622,1.0,0.4166666666666667,0.875,0.7629793882369995,0.7336570024490356,1.0,0.4166666666666667,0.875,0.6494637131690979,0.3606659173965454,1.0,0.4166666666666667,0.875
"Which song on Eminem's album ""The Marshall Mathers LP 2"" was featured in the New Zealand top 50 singles of 2013?"," Four songs also featured in the New Zealand top 50 singles of 2013: Katy Perry's songs ""Roar"" and ""Dark Horse"", ""I See Fire"" by Ed Sheeran, ""The Monster"" by Eminem and ""Timber"" by Pitbull. ""The Monster"" is a song by American rapper Eminem, featuring guest vocals from Barbadian singer Rihanna, taken from Eminem's album ""The Marshall Mathers LP 2"" (2013).",0.8733831644058228,0.8370217680931091,0.6,0.16666666666666666,0.25,-0.00012480095028877258,0.05940847098827362,0.6,0.15789473684210525,0.25,0.05997758358716965,0.3831216096878052,0.6,0.15789473684210525,0.25
 Are the Comx-35 and Sharp MZ both personal types of computers?,"The COMX-35 was a home computer that was one of the very few systems to use the RCA 1802 microprocessor, the same microprocessor that is also used in some space probes. The Sharp MZ is a series of personal computers sold in Japan and Europe (particularly Germany and Great Britain) by Sharp beginning in 1978.",0.03526041656732559,0.12764796614646912,1.0,0.09090909090909091,1.0,-0.0028541237115859985,0.12764796614646912,1.0,0.09090909090909091,1.0,-0.0028541237115859985,0.12764796614646912,1.0,0.09090909090909091,1.0
"Who, Diane Wilkins or Steven Spielberg, is considered one of the founding pioneers of the New Hollywood era?","Diane Wilkins is an independent award-winning filmmaker from Tallahassee, Florida, best known for high definition corporate and documentary production. Steven Allan Spielberg, {'1': "", '2': "", '3': 'KBE', '4': ""} , {'1': "", '2': "", '3': 'OMRI', '4': ""} (born December 18, 1946) is an American director, producer, and screenwriter.",0.6229742765426636,0.5906147956848145,0.75,0.6,0.25,0.6543352603912354,0.5906147956848145,0.75,0.6,0.25,0.6543352603912354,0.5906147956848145,0.75,0.6,0.25
"Amy Lee and TISM, are related to which genre of music?"," She is the co-founder and lead vocalist of the rock band Evanescence. TISM (an acronym of This Is Serious Mum) were a seven-piece anonymous alternative rock band from Melbourne, Australia.",0.18198612332344055,0.344478577375412,1.0,0.08333333333333333,0.75,0.17920741438865662,0.3488658666610718,1.0,0.08333333333333333,0.75,0.19378703832626343,0.344478577375412,1.0,0.08333333333333333,0.75
Which airport offers no passenger airline services since United Express ended flights to San Francisco; Cherry Capital Airport or Chico Municipal Airport?,"Cherry Capital Airport (IATA: TVC, ICAO: KTVC, FAA LID: TVC) is a public use airport located two nautical miles (4 km) southeast of the central business district of Traverse City, in Grand Traverse County, Michigan, United States. Chico Municipal Airport (IATA: CIC, ICAO: KCIC, FAA LID: CIC) , often called CMA, is four miles (6 km) north of Chico, in Butte County, California.  The airport has seen airline jets, but no passenger airline serves Chico since United Express ended flights to San Francisco.",0.653931736946106,0.6643746495246887,0.5,0.25,0.2,0.4598047733306885,0.6191598176956177,0.5,0.2857142857142857,0.2,0.4267403483390808,0.6320161819458008,0.5,0.2857142857142857,0.2
Nicole Mitchell is an American on-camera meteorologist that is assigned to what Air Force base named after a Mississippi native killed in France during the First World War? ,"Nicole Lynn Mitchell (born October 10, 1974) is an American on-camera meteorologist for WFOR-TV in Miami, Florida.  Mitchell is also a Major in the U.S. Air Force Reserve, assigned to the 53d Weather Reconnaissance Squadron at Keesler Air Force Base, Mississippi, as an aerial reconnaissance weather officer (Hurricane Hunter airborne meteorologist). Keesler Air Force Base (IATA: BIX, ICAO: KBIX, FAA LID: BIX) is a United States Air Force base located in Biloxi, a city in Harrison County, Mississippi, United States.",0.2576252222061157,0.34999901056289673,0.6666666666666666,0.2222222222222222,0.38095238095238093,0.31065991520881653,0.34999901056289673,0.5,0.16666666666666666,0.38095238095238093,0.31065991520881653,0.34999901056289673,0.5,0.16666666666666666,0.38095238095238093
