Unnamed: 0,Title,Content,Translated_Content
0,2015–16 Serie B,"The 2015–16 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 84th season since its establishment in 1929.  A total of 22 teams contested the league: 16 returning from the 2014–15 season, 4 promoted from Lega Pro, and 2 relegated from Serie A.  Vacancies created by the bankruptcy of Serie A-relegated Parma and the demotion of Catania to Lega Pro due to match fixing allowed Brescia to remain in the league despite being relegated.  Furthermore, Teramo was due to participate to Serie B but due to the allegations for match-fixing, the Courts decided to relegate Teramo in the last place of Lega Pro of the previous season.  After the demotion of Catania, Virtus Entella was readmitted into Serie B as the best team of the relegated teams from the previous season.  Furthermore, Ascoli was promoted into the championship after finishing second in Lega Pro Group B, second after Teramo before being stripped of the title for the match-fixing scandal.",سیری بی کے لئے سب سے پہلے لیگ میں داخل ہونے کے بعد ، اس نے 2014 میں لیگ اے میں داخل ہونے کے بعد ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس کے بعد سے ، اس سے ، اس سے پہلے کے بعد سے ، اس سے ، اس سے ، اس سے پہلے کے بعد سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ، اس سے ،
1,2016–17 Serie A,"The 2016–17 Serie A (known as the Serie A TIM for sponsorship reasons) was the 115th season of top-tier Italian football, the 85th in a round-robin tournament, and the 7th since its organization under a league committee separate from Serie B.  Juventus were the defending champions.  The season ran from 20 August 2016 to 28 May 2017.",سیری اے (اسپانسرشپ کی وجوہات کی بناء پر سیری اے ٹی ایم کے نام سے جانا جاتا ہے) اطالوی فٹ بال کا 115 واں سیزن تھا ، راؤنڈ رابن ٹورنامنٹ میں 85 واں ، اور سیری بی سے الگ لیگ کمیٹی کے تحت اس کی تنظیم کے بعد سے ساتواں۔ یوونٹس دفاعی چیمپئن تھا۔ یہ سیزن 20 اگست 2016 سے 28 مئی 2017 تک جاری رہا۔
2,2011–12 Serie B,"The 2011–12 Serie B (known as the Serie bwin for sponsorship reasons) will be the eightieth season since its establishment in 1929.  A total of 22 teams will contest the league: 15 of which returning from the 2010–11 season, four of which promoted from Lega Pro Prima Divisione, and three relegated from Serie A.  It began on 27 August 2011 and will end on 27 May 2012.",سیری بی (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کے نام سے جانا جاتا ہے) اس کا 80 واں سیزن ہوگا ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کریں گی ، جن میں سے 15 لیگ پرو پریما ڈویژن سے ترقی یافتہ اور تین سیری اے سے نیچے آئے ہیں۔ یہ 27 اگست 2011 کو شروع ہوا اور 27 مئی 2012 کو ختم ہوگا۔
3,2016–17 Serie B,"The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929.  A total of 22 teams were contesting the league: 15 returning from the 2015–16 season, 4 promoted from Lega Pro, and 3 relegated from Serie A.",2016ء - 17ء سیریز بی (اسپانسرشپ کی وجوہات کی بناء پر سیریز بی کے نام سے جانا جاتا ہے) لیگ کا 85واں سیزن تھا۔ اس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی تھیں: 15 2015ء - 16ء سیزن سے واپس آ رہی تھیں، 4 لیگ پرو سے ترقی یافتہ تھیں اور 3 سیری اے سے ریگولیٹ ہوئیں۔
4,2017–18 Serie B,"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929.  A total of 22 teams are contesting the league: 15 returning from the 2016–17 season, 4 promoted from Lega Pro, and 3 relegated from Serie A.",سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی) کا مقابلہ کرنے والی لیگ کی 86 ویں سیزن ہے۔ اس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 2016 سے واپس آ رہی ہیں ، 4 لیگا پرو سے ترقی یافتہ ہیں ، اور 3 سیری اے سے نیچے گر چکے ہیں۔
5,2009–10 Serie B,"The 2009–10 Serie B season is the seventy-eighth edition since its establishment in 1929.  Serie B, currently named Serie bwin due to sponsorship reasons, is the second-highest division in the Italian football league system after the Serie A.  It is contested by 22 teams and organized by the Lega Serie B since July 2010, after the split of Lega Calcio that previously took care of both the Serie A and Serie B.",2009-10 سیری بی سیزن (انگریزی: 2009-10 Serie B season) اٹلی کی فٹ بال لیگ کا دوسرا سب سے بڑا ڈویژن ہے۔ اس میں 22 ٹیمیں حصہ لیتی ہیں اور جولائی 2010 سے لیگ سیری بی کی طرف سے منظم کیا جاتا ہے۔
6,2013–14 Serie B,"The 2013–14 Serie B (known as the Serie B Eurobet for sponsorship reasons) was the 82nd season since its establishment in 1929.  A total of 22 teams contested the league: 15 of which were returning from the 2012–13 season, 4 of which were promoted from Lega Pro Prima Divisione, and three relegated from Serie A.",سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی یورو بی) کا مقابلہ کیا گیا تھا 82 ویں سیزن اس کے قیام کے بعد سے ، مجموعی طور پر 22 ٹیموں نے لیگ میں مقابلہ کیا: جن میں سے 15 2012-2013 کے سیزن سے واپس آرہی تھیں ، جن میں سے 4 کو لیگا پرو پریما ڈویژن سے ترقی دی گئی تھی ، اور تین سیری اے سے نیچے آگئی تھیں۔
7,2017–18 Serie A,"The 2017–18 Serie A (known as the Serie A TIM for sponsorship reasons) is the 116th season of top-tier Italian football, the 86th in a round-robin tournament and the 8th since its organization under a league committee separate from Serie B.  Juventus are the six-time defending champions.  The season will run from 19 August 2017 to 20 May 2018.",سیری اے (اسپانسرشپ وجوہات کی بناء پر سیری اے ٹی ایم کے نام سے جانا جاتا ہے) اطالوی فٹ بال کا 116 واں سیزن ہے ، راؤنڈ رابن ٹورنامنٹ میں 86 واں اور سیری بی سے الگ لیگ کمیٹی کے تحت اس کی تنظیم کے بعد سے آٹھواں۔ یوونٹوس چھ بار کا دفاعی چیمپئن ہے۔ یہ سیزن 19 اگست 2017 سے 20 مئی 2018 تک چلتا ہے۔
8,Serie B,"Serie B (] ), currently named Serie B ConTe.it due to sponsorship reasons, is the second-highest division in the Italian football league system after the Serie A.  It is contested by 22 teams and organized by the Lega Serie B since July 2010, after the split of Lega Calcio that previously took care of both the Serie A and Serie B. Common nicknames for the league are ""campionato cadetto"" and ""cadetteria"", as ""cadetto"" is the Italian for junior or cadet.","سیری بی (Serie B) ، جو اس وقت اسپانسرشپ کی وجوہات کی بناء پر سیری بی کانٹیٹ نامی ہے ، سیری اے کے بعد اطالوی فٹ بال لیگ سسٹم میں دوسری سب سے زیادہ ڈویژن ہے۔ یہ 22 ٹیموں کے ذریعہ مقابلہ کیا جاتا ہے اور لیگا سیری بی کے ذریعہ جولائی 2010 سے منظم کیا جاتا ہے ، لیگا کیلشیو کے تقسیم کے بعد جو پہلے سیری اے اور سیری بی دونوں کی دیکھ بھال کرتا تھا۔ لیگ کے لئے عام عرفی نام ""کیمپیونٹو کیڈیٹو"" اور ""کیڈیٹیریا"" ہیں۔"
9,2012–13 Serie B,"The 2012–13 Serie B (known as the Serie bwin for sponsorship reasons) is the 81st season since its establishment in 1929.  A total of 22 teams will contest the league: 15 of which returning from the 2011–12 season, 4 of which promoted from Lega Pro Prima Divisione, and three relegated from Serie A.  Puma replaced Nike as manufacturer of the official Serie B match ball, a relationship that continues today.",سیری بی (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کے نام سے جانا جاتا ہے) اس کی بنیاد پر 81 ویں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کریں گی: جن میں سے 15 2011 سے واپس آ رہی ہیں ، جن میں سے 4 لیگ پرو پریما ڈویژن سے ترقی یافتہ ہیں ، اور سیری اے سے تین نیچے آگئے ہیں۔ پوما نے نائکی کو سرکاری سیری بی میچ بال کے کارخانہ دار کے طور پر تبدیل کردیا۔
10,Heath Robinson (codebreaking machine),"Heath Robinson was a machine used by British codebreakers at the Government Code and Cypher School (GC&CS) at Bletchley Park during World War II in Cryptanalysis of the Lorenz cipher.  This achieved the decryption of messages in the German teleprinter cipher produced by the Lorenz SZ40/42 in-line cipher machine.  Both the cipher and the machines were called ""Tunny"" by the codebreakers, who named different German teleprinter ciphers after fish.  It was mainly an electro-mechanical machine, containing no more than a couple of dozen valves (vacuum tubes), and was the predecessor to the electronic Colossus computer.  It was dubbed ""Heath Robinson"" by the Wrens who operated it, after cartoonist William Heath Robinson, who drew immensely complicated mechanical devices for simple tasks, similar to (and somewhat predating) Rube Goldberg in the USA.","""روبنسن ایک """"کڈ بریکر"""" مشین تھی جو برطانوی کوڈ بریکرز نے دوسری جنگ عظیم کے دوران بلچلی پارک میں گورنمنٹ کوڈ اینڈ سائپر اسکول (GC&CS) میں استعمال کی تھی۔ یہ بنیادی طور پر ایک الیکٹرانک مشین تھی ، جس میں دو درجن سے زیادہ والوز (ویکیم ٹیوبیں) نہیں تھیں ، اور یہ """"کولوسس"""" کمپیوٹر کا پیش خیمہ تھا۔ اسے ہیٹ روبنسن نے ""ہیٹ روبنسن"" کا نام دیا تھا ، جو اس کارٹونسٹ ولیم ہیٹ کے نام پر کام کرتا تھا ، جس نے میکینیکل آلات کو بہت پیچیدہ بنایا ، جس سے کچھ آسان کام ملتے ہیں۔"""
11,Cryptonomicon,"Cryptonomicon is a 1999 novel by American author Neal Stephenson, set in two different time periods.  One group of characters are World War II-era Allied codebreakers and tactical-deception operatives affiliated with the Government Code and Cypher School at Bletchley Park (UK), and disillusioned Axis military and intelligence figures.  The second narrative is set in the late 1990s, with characters that are (in part) descendants of those of the earlier time period, who employ cryptologic, telecom and computer technology to build an underground data haven in the fictional Sultanate of Kinakuta.  Their goal is to facilitate anonymous Internet banking using electronic money and (later) digital gold currency, with a long-term objective to distribute Holocaust Education and Avoidance Pod (HEAP) media for instructing genocide-target populations on defensive warfare.","""کرپٹونومیکن: ایک ناول جو امریکی مصنف نیل اسٹیفنسن نے لکھا ہے ، جو دو مختلف دوروں میں ترتیب دیا گیا ہے۔ ایک گروہ کرداروں میں دوسری جنگ عظیم کے دور کے اتحادی کوڈ بریکر اور حکمت عملی سے دھوکہ دہی کے آپریٹرز شامل ہیں جو بلچلی پارک میں گورنمنٹ کوڈ اینڈ سائفر اسکول سے وابستہ ہیں ، اور ایکسس فوجی اور انٹیلی جنس کے مایوس افراد۔ دوسرا داستان 1990 کی دہائی کے آخر میں ترتیب دیا گیا ہے ، جس میں کردار ہیں (جزوی طور پر) پہلے وقت کے ان لوگوں کی اولاد جو افسانوی سلطان کی ایک زیر زمین ڈیٹا پناہ گاہ کی تعمیر کے لئے کرپٹولوجی ، ٹیلی کام اور کمپیوٹر ٹیکنالوجی کا استعمال کرتے ہیں۔ ان کا مقصد """"ڈیجیٹل بینکنگ"""" کی سہولت فراہم کرنا ہے۔"""
12,Enigma (2001 film),"Enigma is a 2001 espionage thriller film directed by Michael Apted from a screenplay by Tom Stoppard.  The script was adapted from the novel ""Enigma"" by Robert Harris, about the Enigma codebreakers of Bletchley Park in the Second World War.",انیگما (انگریزی: Enigma) 2001ء کی ایک امریکی فلم ہے جس کی ہدایت کاری مائیکل اپٹڈ نے کی ہے۔ اس فلم کا اسکرین پلے ٹام اسٹاپارڈ نے لکھا ہے۔ اس فلم کا سکرپٹ رابرٹ ہیرس کے ناول انیگما سے لیا گیا ہے جو دوسری جنگ عظیم کے دوران بلچلی پارک میں انیگما کوڈ بریکرز کے بارے میں ہے۔
13,Michael Smith (newspaper reporter),"Michael Smith is a British author who specializes in spies and espionage.  He is also the Bletchley Park Fellow at Kellogg College, Oxford, and a member of the board of the Bletchley Park Trust.",مائیکل اسمتھ ایک برطانوی مصنف ہیں جو جاسوسی اور جاسوسی میں مہارت رکھتے ہیں۔ وہ بیلچلی پارک فیلو بھی ہیں ، کیلگ کالج ، آکسفورڈ میں ، اور بیلچلی پارک ٹرسٹ کے بورڈ کے ممبر ہیں۔
14,Banburismus,"Banburismus was a cryptanalytic process developed by Alan Turing at Bletchley Park in England during the Second World War.  It was used by Bletchley Park's Hut 8 to help break German ""Kriegsmarine"" (naval) messages enciphered on Enigma machines.  The process used sequential conditional probability to infer information about the likely settings of the Enigma machine.  It gave rise to Turing's invention of the ""ban"" as a measure of the weight of evidence in favour of a hypothesis.  This concept was later applied in Turingery and all the other methods used for breaking the Lorenz cipher.","""انگریز سائنسدان ایلن ٹورنگ نے دوسری جنگ عظیم کے دوران """"بلچلی پارک"""" میں ایک خفیہ تجزیہ کارانہ عمل تیار کیا تھا جس کا استعمال """"بلچلی پارک"""" کے ہٹ 8 نے کیا تھا تاکہ انیگما مشینوں پر انکیپڈ جرمن """"کرگسمارین"""" (نوائی) پیغامات کو توڑنے میں مدد ملے۔ اس عمل نے انیگما مشین کی ممکنہ ترتیبات کے بارے میں معلومات حاصل کرنے کے لئے ترتیب وار مشروط امکان کا استعمال کیا۔ اس نے ٹورنگ کی ایجاد کو جنم دیا۔ یہ تصور بعد میں ٹورینز خفیہ کو توڑنے کے لئے استعمال کیا گیا تھا۔"""
15,Alec Naylor Dakin,"Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster.",ایلکلر ڈکن (انگریزی: Alec Dakin) (۳ اپریل ۱۹۱۲ء - ۱۴ جون ٢٠٠٣ء) ایک برطانوی مصری ماہر، بلچلی پارک کے ایک خفیہ دان اور آکسفورڈ کالج کے ایک فیلو تھے۔
16,Women in Bletchley Park,"About 8,000 women worked in Bletchley Park, the central site for British cryptanalysts during World War II.  Women constituted roughly 75% of the workforce there.  While women were overwhelmingly under-represented in high-level work, such as cryptanalysis, they were employed in large numbers in important auxiliary work, such as: operating cryptographic machinery and communications machinery; translating of Axis documents; traffic analysis; clerical duties, and many more besides.","دوسری جنگ عظیم کے دوران برطانوی خفیہ تجزیہ کاروں کے لئے مرکزی سائٹ بلچلی پارک میں تقریبا 8,000،XNUMX خواتین کام کرتی تھیں۔ خواتین وہاں تقریبا 75 75٪ افرادی قوت تشکیل دیتی تھیں۔ جبکہ خواتین کو اعلی سطح کے کام میں بہت کم نمائندگی کی گئی تھی ، جیسے خفیہ تجزیہ ، وہ اہم معاون کاموں میں بڑی تعداد میں ملازم تھیں ، جیسے: خفیہ کاری کی مشینری اور مواصلات کی مشینری کا آپریشن ، محور دستاویزات کا ترجمہ ، ٹریفک تجزیہ ، کلرک فرائض ، اور بہت کچھ۔"
17,Stuart Milner-Barry,"Sir Philip Stuart Milner-Barry (20 September 1906 – 25 March 1995) was a British chess player, chess writer, World War II codebreaker and civil servant.  He represented England in chess both before and after World War II.  He worked at Bletchley Park during World War II, and was head of ""Hut 6"", a section responsible for deciphering messages which had been encrypted using the German Enigma machine.  He was one of four leading codebreakers at Bletchley to petition the then-Prime Minister Winston Churchill directly for more resources for their work.  After the war he worked in the Treasury, and later administered the British honours system.  In chess, he represented England in international tournaments, and lent his name to three opening variations.",سر فلپ اسٹیورٹ ملنر بیری (انگلیسی: Sir Philip Stuart Milner-Barry) (20 ستمبر 1906 - 25 مارچ 1995) ایک برطانوی شطرنج کھلاڑی، شطرنج کے مصنف، دوسری جنگ عظیم کے کوڈ بریکر اور سرکاری ملازم تھے۔ انہوں نے دوسری جنگ عظیم سے پہلے اور بعد میں شطرنج میں انگلینڈ کی نمائندگی کی۔ انہوں نے دوسری جنگ عظیم کے دوران بلیچلی پارک میں کام کیا اور بین الاقوامی ٹورنامنٹ میں انگلینڈ کی نمائندگی کی اور تین مختلف اقسام کے لئے اپنا نام کھول دیا.
18,Bletchley Park,"Bletchley Park was the central site for British codebreakers during World War II.  It housed the Government Code and Cypher School (GC&CS), which regularly penetrated the secret communications of the Axis Powersmost importantly the German Enigma and Lorenz ciphers.  According to the official historian of British Intelligence, the ""Ultra"" intelligence produced at Bletchley shortened the war by two to four years, and that without it the outcome of the war would have been uncertain.","بلچلی پارک میں برطانوی کوڈ بریکرز کے لئے مرکزی سائٹ تھی ، جس میں گورنمنٹ کوڈ اینڈ سائفر اسکول (جی سی اینڈ سی ایس) تھا ، جو باقاعدگی سے محور طاقتوں کے خفیہ مواصلات میں داخل ہوتا تھا ، خاص طور پر جرمن انیگما اور لورینز شفر۔ برطانوی انٹیلی جنس کے سرکاری مورخ کے مطابق ، بلچلی میں تیار کردہ ""الٹرا"" انٹیلی جنس نے جنگ کو دو سے چار سال تک مختصر کردیا ، اور اس کے بغیر جنگ کا نتیجہ غیر یقینی ہوتا۔"
19,Susan Elizabeth Black,"Susan Elizabeth Black {'1': "", '2': "", '3': "", '4': ""} (born 1962) is a British computer scientist, academic and social entrepreneur.  She has been instrumental in saving Bletchley Park, the site of World War II codebreaking, with her ""Saving Bletchley Park"" campaign.",سوزان بلیک (انگریزی: Susan Elizabeth Black) (پیدائش: 1962ء) ایک برطانوی کمپیوٹر سائنسدان، ماہر تعلیم اور سماجی کاروباری ہیں۔ وہ بلچلی پارک کو بچانے میں اہم کردار ادا کر چکی ہیں۔
20,The Dance and the Railroad,"The Dance and the Railroad is a 1981 play by American playwright David Henry Hwang.  Hwang's second play, it depicts a strike in a coolie railroad labor camp in the mid-nineteenth century.  The play premiered as part of a commission by the New Federal Theatre in 1981.  It had its professional debut on July 16, 1981 Off-Broadway at the Joseph Papp Public Theater.  It was directed by John Lone, with Lone and Tzi Ma in the cast.","""ڈانس اینڈ دی ریلوے (انگریزی: The Dance and the Railroad) امریکی ڈرامہ نگار ڈیوڈ ہنری ہوانگ کا ایک ڈرامہ ہے۔ یہ ڈرامہ انیسویں صدی کے وسط میں ایک """"کولے"""" ریلوے لیبر کیمپ میں ہڑتال کی عکاسی کرتا ہے۔ یہ ڈرامہ نیو فیڈرل تھیٹر کے ایک کمیشن کے حصے کے طور پر 1981 میں پریمیئر ہوا۔ اس کا پیشہ ورانہ آغاز 16 جولائی ، 1981 کو جوزف پاپ پبلک تھیٹر میں آف براڈوے پر ہوا۔ اس کی ہدایت کاری جان لون نے کی تھی۔"""
21,Jurassic Park: Operation Genesis,"Jurassic Park: Operation Genesis is a construction and management simulation video game based on the ""Jurassic Park"" series and released for Windows, Xbox, and PlayStation 2.  The main point of the game is to recreate Jurassic Park - building a five-star theme park with dinosaurs, and turning John Hammond's dream into reality.  In the park, the player builds paths, amenities for visitors such as food, restrooms, enclosures, and attractions.  One must also keep the park safe and secure.  The park can be populated with up to sixty dinosaurs, with twenty-five different species available from the three ""Jurassic Park"" films.  The player can also add attractions similar to those seen in the films, such as the safari seen in the first ""Jurassic Park"" film from 1993, and additional attractions such as a balloon tour and several varieties of viewing platform.","""جراسک پارک: آپریشن جینیسس ایک تعمیراتی اور مینجمنٹ سمیلیٹیشن ویڈیو گیم ہے جو """"جراسک پارک"""" سیریز پر مبنی ہے اور ونڈوز ، ایکس بکس ، اور پلے اسٹیشن 2 کے لئے جاری کیا گیا ہے۔ اس کھیل کا بنیادی نقطہ یہ ہے کہ """"جراسک پارک"""" کو دوبارہ تخلیق کیا جائے - ڈایناسور کے ساتھ پانچ ستارہ تھیم پارک کی تعمیر ، اور جان ہیمنڈ کے خواب کو حقیقت میں تبدیل کرنا۔ پارک میں ، کھلاڑی زائرین کے لئے راستے ، سہولیات جیسے کھانا ، ٹوائلٹ ، احاطے اور پرکشش مقامات کی تعمیر کرتا ہے۔ پارک کو ساٹھ ڈایناسوروں کے ساتھ آباد کیا جاسکتا ہے ، جس میں تین """"جراسک پارک"""" فلموں سے ملتی جلتی پچیس مختلف پرجاتی ہیں۔"""
