level,question,answer,context,retrieved_context,final_answer,retriever_time,generator_time,total_time
easy,"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929, a total of 22 teams are contesting the league: 15 returning from the 2016–17 season, The 2016–17 Serie B, known as the Serie B ConTe.it for sponsorship reasons, and was the 85th season since its establishment in, what year?",1929," A total of 22 teams are contesting the league: 15 returning from the 2016–17 season, 4 promoted from Lega Pro, and 3 relegated from Serie A. The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929.","The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929
The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929
The 2015–16 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 84th season since its establishment in 1929",85th season since its establishment in 1929.,0.04497027397155762,1.6823251247406006,1.7272953987121582
easy,"What specialism did Alec Naylor Dakin, fellow of Oxford College, pursue at Bletchley Park during the second World War; a central site for British codebreakers?",cryptologist,"Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster. Bletchley Park was the central site for British codebreakers during World War II.","Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster.
One group of characters are World War II-era Allied codebreakers and tactical-deception operatives affiliated with the Government Code and Cypher School at Bletchley Park (UK)
Bletchley Park was the central site for British codebreakers during World War II",Cryptologist,0.022572994232177734,0.5674529075622559,0.5905816555023193
easy,Which actor from Jurassic Park assisted David Henry Hwang direct his 1993 play,BD Wong," It was directed by Jerry Zaks, with B. D. Wong, Jane Krakowski, Mark Linn-Baker, Mia Korf, and Gina Torres in the cast.  He has since gained more notability for playing the roles on """", Father Ray Mukada on ""Oz"", Dr. John Lee on ""Awake"", Dr. Henry Wu in the first ""Jurassic Park"" film as well as the fourth entry, ""Jurassic World"", and Ngapoi Ngawang Jigme in the film ""Seven Years in Tibet"".  As of August 13, 2017, Wong is the host of the new HLN medical documentary series ""Something's Killing Me With BD Wong"".","Rich Relations is a 1986 play by American playwright David Henry Hwang
Face Value was a 1993 play by American playwright David Henry Hwang.  It was to be the second Broadway production of the playwright's work, but it closed in previews on March 14, 1993
Family Devotions is a 1981 play by American playwright David Henry Hwang",No actor from Jurassic Park assisted David Henry Hwang direct his 1993 play.,0.002022266387939453,1.8843140602111816,1.886336326599121
easy,"What character, voiced by Dan Castellaneta, starred in the second episode of the twenty-second season of The Simpsons?",Grampa Simpson,"""Loan-a Lisa"" is the second episode of ""The Simpsons""' twenty-second season.  In the episode, Lisa helps fund Nelson's bicycle company with money Grampa Simpson gives her as part of his inheritance, but after Nelson meets Facebook founder Mark Zuckerberg and is convinced he can be successful by dropping out of school, Lisa tries to convince Nelson to stay in school.  Voiced by Dan Castellaneta, he is the father of Homer Simpson and the grandfather of Bart, Lisa and Maggie Simpson.","The character is voiced by Dan Castellaneta and first appeared in the series premiere episode ""Simpsons Roasting on an Open Fire""
Voiced by Dan Castellaneta, he is the father of Homer Simpson and the grandfather of Bart, Lisa and Maggie Simpson
This episode was dedicated in memory of Louis Castellaneta, the father of ""The Simpsons"" voice actor Dan Castellaneta.  It was written by Joel H",Homer Simpson.,0.016636133193969727,0.7650039196014404,0.7816400527954102
easy,"Who was a part of S#arp, Lee Ji-hye or Curtis Wright?",Lee Ji-hye,"Lee Ji-hye (born January 11, 1980) is a South Korean singer and actress.  She was former member of pop group S#arp. Curtis Blaine Wrightt Jr. (born June 6, 1955 in Huntingdon, Pennsylvania) is an American country music artist.","Seo Ji-young bullied fellow member Lee Ji-hye until the company was forced to disband S#arp.
Lee Ji-hye (born January 11, 1980) is a South Korean singer and actress.  She was former member of pop group S#arp
She was former member of pop group S#arp.  The group released six albums before their breakup in 2002, attributed to the feud between Lee and fellow female member Seo Ji-young",Lee Ji-hye,0.010200738906860352,0.7130506038665771,0.7238366603851318
easy,To which professional American basketball team was a former Atlanta Hawks and Los Angeles Clippers player traded during a season for the Chicago Bulls in which they finished in last place in the Central Division?,New York Knicks,"The 2003–04 NBA season was the Bulls' 38th season in the National Basketball Association.  However, they continued to struggle finishing last place in the Central Division with a 23–59 record, missing the playoffs for the sixth straight season. Aaron Jamal Crawford (born March 20, 1980) is an American professional basketball player for the Minnesota Timberwolves of the National Basketball Association (NBA).  In his career, he has also played for the New York Knicks, Golden State Warriors, Atlanta Hawks, Portland Trail Blazers and Los Angeles Clippers.","The Hawks then traded the first pick to the Houston Rockets before the draft
Charlotte Bobcats, Golden State Warriors, Atlanta Hawks and Chicago Bulls
and later played for the Philadelphia 76ers, the Los Angeles Clippers, Dallas Mavericks and Atlanta Hawks",The Chicago Bulls.,0.009945392608642578,0.7149648666381836,0.7249102592468262
easy,"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?",InBev," It was purchased by Labatt Brewing Company in 1987, which in turn was purchased in 1995 by the Belgian brewing conglomerate corporation Interbrew, which merged later into InBev in 2004. InBev was a brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev which took place in 2004.","Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer (famous for its small green bottles)
InBev was a brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev which took place in 2004
100% owned by Anheuser-Busch InBev (AB InBev) the world's largest brewing company based in Belgium",InBev,0.007222175598144531,0.6725142002105713,0.6797363758087158
easy,What did the USarmy seargant and convicted drug trafficker that was believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975 deny about Frank Lucas?,that he smuggled heroin," Lucas boasted that he smuggled heroin using the coffins of dead American servicemen, but this claim is denied by his South East Asian associate, Leslie ""Ike"" Atkinson. Leslie ""Ike"" Atkinson (November 19, 1925 – November 11, 2014) was a US Army master sergeant and convicted drug trafficker, believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975.","believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975
Frank Lucas (born September 9, 1930) is an American former drug trafficker, who operated in Harlem during the late 1960s and early 1970s
the drugs baron was reprimanded after being linked to alleged heroin smuggling",Frank Lucas.,0.009922027587890625,0.66074538230896,0.6706674098968506
easy,"Andrew Martin Dober, is an American mixed martial artist who competes in the lightweight division for which American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG?",Ultimate Fighting Championship (UFC),"Andrew Martin Dober (born October 19, 1988) is an American mixed martial artist who competes in the lightweight division for the Ultimate Fighting Championship. The Ultimate Fighting Championship (UFC) is an American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG.","Andrew Martin Dober (born October 19, 1988) is an American mixed martial artist who competes in the lightweight division for the Ultimate Fighting Championship
The Ultimate Fighting Championship (UFC) is an American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG
A professional mixed martial artist since 2010, he formerly competed for Bellator and the Cage Fury Fighting Championships, where he was the Lightweight Champion.",Andrew Martin Dober competes in the lightweight division for the Ultimate Fighting Championship (UFC).,0.011077880859375,2.403073787689209,2.4146711826324463
easy,"Which song on Eminem's album ""The Marshall Mathers LP 2"" was featured in the New Zealand top 50 singles of 2013?",The Monster," Four songs also featured in the New Zealand top 50 singles of 2013: Katy Perry's songs ""Roar"" and ""Dark Horse"", ""I See Fire"" by Ed Sheeran, ""The Monster"" by Eminem and ""Timber"" by Pitbull. ""The Monster"" is a song by American rapper Eminem, featuring guest vocals from Barbadian singer Rihanna, taken from Eminem's album ""The Marshall Mathers LP 2"" (2013).","The Marshall Mathers LP 2 is the eighth studio album by American rapper Eminem.  Aftermath Entertainment, Shady Records, and Interscope Records released the album on November 5, 2013
The song premiered via YouTube, on October 14, 2013, and was released in the US on October 15, as the third single from Eminem's eighth studio album, ""The Marshall Mathers LP 2"" (2013)
The song connects the second ""Marshall Mathers LP"" to the first, which was released in the year 2000",Berzerk,0.022015094757080078,0.7279207706451416,0.7499358654022217
