query,ground_truth_context,simple_rag_faithfulness,simple_rag_answer_relevancy,simple_rag_context_recall,simple_rag_context_precision,simple_rag_entity_recall,lqr_rag_faithfulness,lqr_rag_answer_relevancy,lqr_rag_context_recall,lqr_rag_context_precision,lqr_rag_entity_recall,modlqr_rag_faithfulness,modlqr_rag_answer_relevancy,modlqr_rag_context_recall,modlqr_rag_context_precision,modlqr_rag_entity_recall
سیری بی 2017 - 2017 (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹ) لیگ کا 86 واں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کر رہی ہیں: 15 2016 - 17 سیزن سے واپس آرہی ہیں ، 2016 - 17 سیری بی ، جو اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹٹ کے نام سے جانا جاتا ہے ، اور اس کے قیام کے بعد سے 85 واں سیزن تھا۔,لیگ میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 سیزن 2016 سے واپس آرہی ہیں ، 4 لیگ پرو سے ترقی یافتہ ہیں ، اور سیری اے سے 3 کو گرا دیا گیا ہے۔ سیری بی 2016 (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کنٹیکٹ کے نام سے جانا جاتا ہے) اس کے قیام کے بعد سے 85 واں سیزن تھا۔,0.8885632753372192,0.9526809453964233,0.625,0.2777777777777778,0.7142857142857143,0.7977266311645508,0.8140134811401367,0.5,0.25,0.8571428571428571,0.8552480936050415,0.9114367961883545,0.5,0.25,0.8571428571428571
"""آکسفورڈ کالج کے ایک ساتھی ایلک نیلر ڈکن نے کہا کہ """"یہ ایک بہت ہی اہم مقام ہے جہاں برطانوی کوڈ بریکرز نے کام کیا ہے۔""""""",ایلکلر ڈکن (انگریزی: Alec Dakin) (۳ اپریل ۱۹۱۲ء - ۱۴ جون ٢٠٠٣ء) ایک برطانوی خفیہ کار اور خفیہ کار تھا۔ وہ بلچلی پارک میں خفیہ کاری کا ماہر تھا۔ بلچلی پارک دوسری جنگ عظیم کے دوران برطانوی خفیہ کاروں کے لیے مرکزی مقام تھا۔,0.8316829204559326,0.8032692670822144,0.0,0.0,0.0,0.8097256422042847,0.9029572010040283,0.0,0.0,0.0,0.880355715751648,0.7534546852111816,0.0,0.0,0.0
"""جراسک پارک کے اداکار ڈیوڈ ہنری ہوانگ نے """"دی ڈے"""" کے لئے ایک فلم بنائی""","""جیرز زکس نے اس فلم کی ہدایت کاری کی تھی جس میں بی ڈی وانگ ، جین کرکوسکی ، مارک لن بیکر ، میا کورف اور جینا ٹورس نے اداکاری کی تھی۔ اس کے بعد سے ، اس نے """"اوز"""" پر فادر رے موکاڈا ، """"آویک"""" پر ڈاکٹر جان لی ، """"جراسک پارک"""" کی پہلی فلم میں ڈاکٹر ہنری وو ، اور چوتھی فلم ، """"جراسک ورلڈ"""" میں ننگو ننگوونگ جیگمی کے ساتھ اداکاری کی ہے۔""",0.7640180587768555,0.8638553619384766,0.0,0.0,0.0,0.7698400616645813,0.9603990316390991,0.0,0.0,0.0,0.7354493737220764,0.7372117042541504,0.0,0.0,0.0
کون سا کردار ، ڈین کاسٹیلینیٹا کی آواز ، سمپسنز کے بیسویں سیزن کی دوسری قسط میں اداکاری کی؟,"""سیمپسنز کے 22 ویں سیزن کی دوسری قسط """" لون اے لیزا """" میں ، لیزا نیلسن کی سائیکل کمپنی کو مالی اعانت فراہم کرنے میں مدد کرتی ہے ، لیکن جب نیلسن فیس بک کے بانی مارک زکربرگ سے ملتا ہے اور اس بات پر یقین کرتا ہے کہ وہ اسکول چھوڑ کر کامیاب ہوسکتا ہے تو لیزا نیلسن کو اسکول میں رہنے پر قائل کرنے کی کوشش کرتی ہے۔""",0.7865425944328308,0.9567738771438599,0.0,0.0,0.0,0.8016065359115601,0.757218599319458,0.0,0.0,0.0,0.8149439096450806,0.8760995268821716,0.0,0.0,0.0
کون تھا ایک حصہ S#arp، لی Ji-hye یا کرٹس رائٹ؟,لی جی ہیو (پیدائش 11 جنوری ، 1980) ایک جنوبی کوریائی گلوکارہ اور اداکارہ ہیں۔ وہ پاپ گروپ ایس آر پی کی سابقہ رکن تھیں۔ کرٹس بلیئن رائٹ جونیئر (پیدائش 6 جون ، 1955 ، ہینٹنگڈن ، پنسلوانیا) ایک امریکی کنٹری میوزک آرٹسٹ ہے۔,0.7388982772827148,0.8049094080924988,0.0,0.0,0.0,0.7863069772720337,0.7681596279144287,0.0,0.0,0.0,0.7574548721313477,0.8492369055747986,0.0,0.0,0.0
امریکی باسکٹ بال ٹیم نے اس سال کے آخر میں شکاگو بلز کے لئے ایک سابق اٹلانٹا ہاکس اور لاس اینجلس کلیپرز کھلاڑی کو تبدیل کر دیا تھا، جس میں انہوں نے سینٹرل ڈویژن میں آخری جگہ پر ختم کیا.,2003-04 NBA سیزن نیشنل باسکٹ بال ایسوسی ایشن میں بلز کا 38 واں سیزن تھا۔ تاہم ، انہوں نے سنٹرل ڈویژن میں 23-59 ریکارڈ کے ساتھ آخری مقام حاصل کرنے کے لئے جدوجہد جاری رکھی ، چھٹے مسلسل سیزن کے لئے پلے آف سے محروم ہوگئے۔ ہارون جمال کرافورڈ (پیدائش 20 مارچ ، 1980) نیشنل باسکٹ بال ایسوسی ایشن (این بی اے) کے مینیسوٹا ٹمبر وولوز کے لئے ایک امریکی پیشہ ور باسکٹ بال کھلاڑی ہے۔ اپنے کیریئر میں ، انہوں نے نیو یارک نکس ، گولڈن اسٹیٹ وارئرز ، اٹلانٹا ہاکس ، پورٹلینڈ ٹریل بلیزرز اور لاس اینجلس کلیپرز کے لئے بھی کھیلا ہے۔,0.7592501640319824,0.9899662733078003,0.0,0.0,0.0,0.7746806740760803,0.807016909122467,0.0,0.0,0.0,0.7628026008605957,0.8655292391777039,0.0,0.0,0.0
"لیٹروب بریوری کمپنی ، جو 1839 میں قائم ہوئی تھی ، ریاستہائے متحدہ میں سب سے بڑی بریوریوں میں سے ایک تھی اور ""رولنگ راک"" بیئر کی صنعت کار تھی ، جو بعد میں 2004 میں ضم ہوگئی ، جس میں بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کی بریور ایم بیوی کے مابین انضمام کا نتیجہ نکلا۔",ان بیئر کو 1987 میں لیبٹ بریونگ کمپنی نے خریدا تھا ، جو 1995 میں بیلجئیم کی بریونگ کمپنی انٹر بریو نے خریدی تھی ، جو بعد میں 2004 میں ان بیور میں ضم ہوگئی۔ ان بیور ایک بریونگ کمپنی تھی جو بیلجئیم میں مقیم کمپنی انٹر بریو اور برازیل کی بریور ایم بیور کے مابین انضمام کا نتیجہ تھی۔,0.8651009798049927,0.8585930466651917,0.5714285714285714,0.6666666666666666,0.2,0.8989279270172119,0.9138790965080261,0.5714285714285714,0.5714285714285714,0.2,0.8952504396438599,0.9244945645332336,0.5714285714285714,0.5714285714285714,0.2
امریکی فوج کے ایک افسر اور منشیات کے اسمگلنگ کے مجرم کے بارے میں کیا خیال کیا جاتا ہے کہ وہ 1968 سے 1975 تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کرتے تھے؟,"""لوکاس نے کہا کہ وہ مردہ امریکی فوجیوں کے تابوتوں کا استعمال کرتے ہوئے ہیروئن کی اسمگلنگ کرتا تھا ، لیکن اس دعوے کی تردید اس کے جنوب مشرقی ایشیائی ساتھی لیسلی """"آئی کے"""" اٹکنسن نے کی ہے۔ لیسلی """"آئی کے"""" اٹکنسن (19 نومبر 1925 - 11 نومبر 2014) امریکی فوج کے ماسٹر سارجنٹ اور مجرم منشیات فروش تھے ، جن کے بارے میں خیال کیا جاتا ہے کہ وہ 1968 سے 1975 تک جنوب مشرقی ایشیا سے ریاستہائے متحدہ میں ہیروئن کی اسمگلنگ میں اہم شخصیت تھے۔""",0.7442262172698975,0.7658987641334534,0.5,0.18181818181818182,0.1111111111111111,0.8163059949874878,0.814583420753479,0.25,0.1,0.1111111111111111,0.8520094156265259,0.8917416930198669,0.25,0.1,0.1111111111111111
اینڈریو مارٹن ڈوبر ، ایک امریکی مخلوط مارشل آرٹسٹ ہے جو ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے جس کے لئے امریکی مخلوط مارشل آرٹس تنظیم لاس ویگاس ، نیواڈا میں مقیم ہے ، جو والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلتی ہے۔,اینڈریو مارٹن ڈوبر (پیدائش 19 اکتوبر ، 1988) ایک امریکی مخلوط مارشل آرٹسٹ ہے جو الٹیمیٹ فائٹنگ چیمپئن شپ کے لئے ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے۔ الٹیمیٹ فائٹنگ چیمپئن شپ (یو ایف سی) لاس ویگاس ، نیواڈا میں مقیم ایک امریکی مخلوط مارشل آرٹس تنظیم ہے ، جو والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلتی ہے۔,0.8267373442649841,0.7604616284370422,0.0,0.0,0.0,0.7769684791564941,0.8233385682106018,0.0,0.0,0.0,0.7699671983718872,0.819633960723877,0.0,0.0,0.0
ایمینم کے البم مارشل میتھرز ایل پی 2 پر کون سا گانا نیوزی لینڈ کے ٹاپ 50 سنگلز میں شامل تھا؟,"نیوزی لینڈ کے سب سے اوپر 50 سنگلز میں شامل چار گانے: کیٹی پیری کے گانے ""روئر"" اور ""ڈارک ہارس"" ، ایڈ شیران کے ""میں آگ دیکھتا ہوں"" ، ایمینم کے ""دی مونسٹر"" اور پٹ بل کے ""ٹیمبر""۔ ""دی مونسٹر"" امریکی ریپر ایمینم کا ایک گانا ہے ، جس میں بارباڈوس کے گلوکارہ ریہانا کی مہمان آوازیں شامل ہیں ، جو ایمینم کے البم ""دی مارشل میتھرز ایل پی 2"" (2013) سے لیا گیا ہے۔",0.7710000872612,0.7861121296882629,0.2,0.5,0.09090909090909091,0.796187162399292,0.8922920227050781,0.2,0.5,0.09090909090909091,0.8448215126991272,0.8753490447998047,0.2,0.5,0.09090909090909091
