question,answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,total_time_without_classification,level
"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929, a total of 22 teams are contesting the league: 15 returning from the 2016–17 season, The 2016–17 Serie B, known as the Serie B ConTe.it for sponsorship reasons, and was the 85th season since its establishment in, what year?",1929,singlehop,"['The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929', 'The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929', 'The 2015–16 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 84th season since its establishment in 1929']",1929,2.085276365,0,0.014623642,0.44192481,2.541824818,0.456548453,easy
"What specialism did Alec Naylor Dakin, fellow of Oxford College, pursue at Bletchley Park during the second World War; a central site for British codebreakers?",cryptologist,multihop,"['Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster.', 'One group of characters are World War II-era Allied codebreakers and tactical-deception operatives affiliated with the Government Code and Cypher School at Bletchley Park (UK)', 'Bletchley Park was the central site for British codebreakers during World War II']",Cryptologist.,3.580665112,0,0.008506775,0.414981127,4.004153013,0.423487901,easy
Which actor from Jurassic Park assisted David Henry Hwang direct his 1993 play,BD Wong,multihop,"['Rich Relations is a 1986 play by American playwright David Henry Hwang', ""Face Value was a 1993 play by American playwright David Henry Hwang.  It was to be the second Broadway production of the playwright's work, but it closed in previews on March 14, 1993"", 'Family Devotions is a 1981 play by American playwright David Henry Hwang']",Sam Neill.,2.647732735,0,0.006770849,0.412817001,3.067320585,0.41958785,easy
"What character, voiced by Dan Castellaneta, starred in the second episode of the twenty-second season of The Simpsons?",Grampa Simpson,singlehop,"['The character is voiced by Dan Castellaneta and first appeared in the series premiere episode ""Simpsons Roasting on an Open Fire""', 'Voiced by Dan Castellaneta, he is the father of Homer Simpson and the grandfather of Bart, Lisa and Maggie Simpson', 'This episode was dedicated in memory of Louis Castellaneta, the father of ""The Simpsons"" voice actor Dan Castellaneta.  It was written by Joel H']",Homer Simpson.,2.280021191,0,0.006803513,0.415454149,2.702278852,0.422257661,easy
"Who was a part of S#arp, Lee Ji-hye or Curtis Wright?",Lee Ji-hye,singlehop,"['Seo Ji-young bullied fellow member Lee Ji-hye until the company was forced to disband S#arp.', 'Lee Ji-hye (born January 11, 1980) is a South Korean singer and actress.  She was former member of pop group S#arp', 'She was former member of pop group S#arp.  The group released six albums before their breakup in 2002, attributed to the feud between Lee and fellow female member Seo Ji-young']",Lee Ji-hye was a part of S#arp.,2.742551327,0,0.005911589,0.605815649,3.354278564,0.611727237,easy
To which professional American basketball team was a former Atlanta Hawks and Los Angeles Clippers player traded during a season for the Chicago Bulls in which they finished in last place in the Central Division?,New York Knicks,multihop,"['The Hawks then traded the first pick to the Houston Rockets before the draft', 'Charlotte Bobcats, Golden State Warriors, Atlanta Hawks and Chicago Bulls', 'and later played for the Philadelphia 76ers, the Los Angeles Clippers, Dallas Mavericks and Atlanta Hawks']",Los Angeles Clippers.,3.530288458,0,8.39E-05,0.376065969,3.906438351,0.376149893,easy
"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?",InBev,multihop,"['Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer (famous for its small green bottles)', 'InBev was a brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev which took place in 2004', ""100% owned by Anheuser-Busch InBev (AB InBev) the world's largest brewing company based in Belgium""]",Anheuser-Busch InBev (AB InBev),3.383845568,0,0.002102613,0.738775492,4.124723673,0.740878105,easy
What did the USarmy seargant and convicted drug trafficker that was believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975 deny about Frank Lucas?,that he smuggled heroin,multihop,"['believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975', 'Frank Lucas (born September 9, 1930) is an American former drug trafficker, who operated in Harlem during the late 1960s and early 1970s', 'the drugs baron was reprimanded after being linked to alleged heroin smuggling']",Frank Lucas denied being linked to alleged heroin smuggling.,4.755385876,0,0.005266905,0.585584402,5.346237183,0.590851307,easy
"Andrew Martin Dober, is an American mixed martial artist who competes in the lightweight division for which American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG?",Ultimate Fighting Championship (UFC),singlehop,"['Andrew Martin Dober (born October 19, 1988) is an American mixed martial artist who competes in the lightweight division for the Ultimate Fighting Championship', 'The Ultimate Fighting Championship (UFC) is an American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG', 'A professional mixed martial artist since 2010, he formerly competed for Bellator and the Cage Fury Fighting Championships, where he was the Lightweight Champion.']",Andrew Martin Dober competes for the Ultimate Fighting Championship (UFC).,2.471806049,0,0.00875926,0.716311455,3.196876764,0.725070715,easy
"Which song on Eminem's album ""The Marshall Mathers LP 2"" was featured in the New Zealand top 50 singles of 2013?",The Monster,multihop,"['The Marshall Mathers LP 2 is the eighth studio album by American rapper Eminem.  Aftermath Entertainment, Shady Records, and Interscope Records released the album on November 5, 2013', 'The song premiered via YouTube, on October 14, 2013, and was released in the US on October 15, as the third single from Eminem\'s eighth studio album, ""The Marshall Mathers LP 2"" (2013)', 'The song connects the second ""Marshall Mathers LP"" to the first, which was released in the year 2000']",Berzerk,3.56906414,0,8.11E-05,0.439365387,4.00851059,0.43944645,easy
 Are the Comx-35 and Sharp MZ both personal types of computers?,yes,singlehop,"['The Sharp MZ is a series of personal computers sold in Japan and Europe (particularly Germany and Great Britain) by Sharp beginning in 1978.', 'The COMX-35 was a home computer that was one of the very few systems to use the RCA 1802 microprocessor, the same microprocessor that is also used in some space probes.', 'Examples of a digital electronic computers include the IBM PC, the Apple Macintosh as well as modern smartphones']",Yes.,3.077843904,0,0,0.374390841,3.452234745,0.374390841,easy
"Who, Diane Wilkins or Steven Spielberg, is considered one of the founding pioneers of the New Hollywood era?",Steven Allan Spielberg,singlehop,"['He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history', 'He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history', 'Steven Spielberg (born December 18, 1946) is an American director, producer, and screenwriter']",Steven Spielberg,2.495059967,0,0.000634432,0.377418756,2.873113155,0.378053188,easy
"Amy Lee and TISM, are related to which genre of music?",rock,singlehop,"['Amy Lynn Hartzler (née Lee ; born December 13, 1981), known professionally as Amy Lee, is an American singer, songwriter, record producer and multi-instrumentalist', 'TISM (an acronym of This Is Serious Mum) were a seven-piece anonymous alternative rock band from Melbourne, Australia.  The group were formed on 30 December 1982 by vocalist/drummer Humphrey B', 'The song was written by lead vocalist Amy Lee and produced by Dave Fortman.  According to Lee it was written for her long-time friend and future husband, Josh Hartzler']",Alternative rock.,2.598474503,0,0.000528097,0.424665213,3.023667812,0.425193309,easy
Which airport offers no passenger airline services since United Express ended flights to San Francisco; Cherry Capital Airport or Chico Municipal Airport?,Chico Municipal Airport,multihop,"['The airport has seen airline jets, but no passenger airline serves Chico since United Express ended flights to San Francisco.', 'In addition to general aviation, the airport has scheduled passenger flights to and from San Francisco on United Express.', 'Stol Air Commuter operated scheduled passenger air service connecting several cities in the San Francisco Bay Area as well as northern California with San Francisco International Airport (SFO)']",Cherry Capital Airport.,2.693036795,0,0,0.436570168,3.129606962,0.436570167,easy
Nicole Mitchell is an American on-camera meteorologist that is assigned to what Air Force base named after a Mississippi native killed in France during the First World War? ,Keesler Air Force Base,multihop,"['Nicole Lynn Mitchell (born October 10, 1974) is an American on-camera meteorologist for WFOR-TV in Miami, Florida.  Mitchell is also a Major in the U.S', 'She was one of the members of ""The Weathermen"" which was the radical student activist group.  In 2002, she was honored at the 2002 Women Who Dared event in Boston.', 'The base is named in honor of aviator 2d Lt Samuel Reeves Keesler, Jr., a Mississippi native killed in France during the First World War']",Keesler Air Force Base,2.727366209,0,0.000339985,0.506140471,3.233846664,0.506480455,easy
"Pseudotsuga, found in North America and Eastern Asia which has also been classified as 'Abies' and 'Tsuga' and Huernia which is found in Eastern and Southern Africa and closely related to 'Stapelia' and 'Hoodia' are both types of what?",genus,multihop,"['Pseudotsuga is a genus of evergreen coniferous trees in the family Pinaceae.  Common names include Douglas fir, Douglas-fir, Douglas tree, and Oregon pine', 'The genus name has also been hyphenated as ""Pseudo-tsuga"".', '"" Pseudotsuga menziesii"" is widespread in western North America and is an important source of timber']",Types of coniferous trees.,3.211213827,0,0.001126528,0.52151227,3.733852625,0.522638798,easy
Juan Sebastián Cabal and John Lloyd play what sport?,tennis,singlehop,"['Juan Sebastián Cabal (born 25 April 1986) is a Colombian professional tennis player.  His highest doubles ranking is World No. 18 and World No. 184 in singles', 'Juan Sebastián Cabal and Carlos Salamanca were the defending champions but Cabal decided not to participate. <br>', ""Juan Sebastián Cabal and Alejandro Falla were the defending champions, but Cabal didn't start this year.""]",Tennis,2.513005733,0,0.000530958,0.365308285,2.878844976,0.365839243,easy
