translated_question,translated_answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,level
سیری بی 2017 - 2017 (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹ) لیگ کا 86 واں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کر رہی ہیں: 15 2016 - 17 سیزن سے واپس آرہی ہیں ، 2016 - 17 سیری بی ، جو اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹٹ کے نام سے جانا جاتا ہے ، اور اس کے قیام کے بعد سے 85 واں سیزن تھا۔,1929ء میں,multihop,"['سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی یورو بی) کا مقابلہ کیا گیا تھا 82 ویں سیزن اس کے قیام کے بعد سے ، مجموعی طور پر 22 ٹیموں نے لیگ میں مقابلہ کیا: جن میں سے 15 2012-2013 کے سیزن سے واپس آرہی تھیں ، جن میں سے 4 کو لیگا پرو پریما ڈویژن سے', 'سیری بی (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کے نام سے جانا جاتا ہے) اس کی بنیاد پر 81 ویں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کریں گی: جن میں سے 15 2011 سے واپس آ رہی ہیں ، جن میں سے 4 لیگ پرو پریما ڈویژن سے ترقی یافتہ ہیں ، اور سیری', 'سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی) کا مقابلہ کرنے والی لیگ کی 86 ویں سیزن ہے۔ اس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 2016 سے واپس آ رہی ہیں ، 4 لیگا پرو سے ترقی یافتہ ہیں ، اور 3 سیری اے سے نیچے گر چکے ہیں۔']",سیریز بی ایک فٹ بال لیگ ہے جو اٹلی میں مقامی سطح کی ٹیموں کا احاطہ کرتی ہے۔,6.936363458633423,0.0,0.03976869583129883,25.695453643798828,32.67158579826355,easy
"""آکسفورڈ کالج کے ایک ساتھی ایلک نیلر ڈکن نے کہا کہ """"یہ ایک بہت ہی اہم مقام ہے جہاں برطانوی کوڈ بریکرز نے کام کیا ہے۔""""""",کرپٹوولوجسٹ,multihop,"['۔ ریچر اس وقت اسٹینفورڈ یونیورسٹی میں اسٹینفورڈ گریجویٹ اسکول آف بزنس اور اسٹینفورڈ لا اسکول کے مشترکہ مرکز اسٹینفورڈ سینٹر برائے توانائی کی پالیسی اور فنانس کے ایگزیکٹو ڈائریکٹر ہیں', '۔ یہ کام پہلے سے ہی تشکیل دیا گیا تھا ، ممکنہ طور پر کرسچن ، ڈیوک آف ساکس-ویسنفیلس کے دربار میں ایک موقع کے لئے۔""', '۔ گریس (اسکیلر سیموئلز) اور پیٹ (ڈیگو بونٹا) زیڈے (کیک پالمر) کی تلاش کی قیادت کرتے ہیں۔""']",برطانوی کوڈ بریکرز کی طرف سے کام کرنے والا ایک اہم مقام آکسفورڈ کالج تھا ، جس میں ایلک نیلر ڈکن کا ذکر کیا گیا تھا۔,7.0142433643341064,0.0,0.009519577026367188,30.078612804412842,37.102375745773315,easy
"""جراسک پارک کے اداکار ڈیوڈ ہنری ہوانگ نے """"دی ڈے"""" کے لئے ایک فلم بنائی""",بی ڈی وانگ,singlehop,"['۔ یہ فلم والٹر ونجر نے پروڈیوس کی ہے۔ اس فلم کی کہانی مائلس کونولی اور کیتھرین سکوولا نے لکھی ہے۔ یہ فلم یونائیٹڈ آرٹسٹس نے ریلیز کی تھی۔', '""ٹومی سوڈلو ایک امریکی اداکار اور اسکرین رائٹر ہے۔ انہوں نے فلم """"ہاورڈ دی ڈک"""" (1986) اور """"اسپیس بالز"""" (1987) میں کام کیا ہے۔ انہوں نے فلم """"کول رننگ"""" (1993) ، """"لٹل جنات"""" (1994) اور """"سنو ڈاگ"""" (2002) کے اسکرین پلے میں شریک ہیں', '""جیک روسو (پیدائش: 2 فروری ، 1939) ایک امریکی اسکرین رائٹر اور فلم ڈائریکٹر ہے جو عام طور پر 1968 کی ہارر کلاسیکی فلم """"نائٹ آف دی لونگ ڈیڈ"""" اور """"ہائوس آف فرینکن اسٹائن"""" کے ساتھ منسلک ہے']","""جراسک پارک"" فلم ""دی ڈے"" کے لئے ایک شاندار، مضمون اور غیر حقیقی سیاق و سباق فراہم کرتی ہے. اس سوال کی درست جوابی صورت یہ ہوگی: 

فلم ""جراسک پارک"" کے اداکار اور پروڈیوسر، والٹر ونجر نے فلم ""دی ڈے"" میں ایک کردار ادا کیا ہے.",4.835996150970459,0.0,0.005161285400390625,48.81282114982605,53.6539785861969,easy
کون سا کردار ، ڈین کاسٹیلینیٹا کی آواز ، سمپسنز کے بیسویں سیزن کی دوسری قسط میں اداکاری کی؟,دادا سمپسن,multihop,"['۔ اس کے کریڈٹ میں """"نائٹ آف دی لونگ ڈیڈ"""" ، """"دی میجوریٹس"""" ، """"مائڈ نائٹ"""" اور """"سانٹا"""" شامل ہیں۔ آخری دو میں ، اس نے ہدایت کاری بھی کی۔ اس نے ایک اداکار کے طور پر چھوٹے چھوٹے کردار ادا کیے ہیں', '۔ ڈرامائی انتھولوجی سیریز """"کلائماکس"""" کا ایک واقعہ ، یہ ایک جیمز بانڈ ناول کی پہلی اسکرین موافقت ہے اور اس میں بیری نیلسن ، پیٹر لور اور لنڈا کرسچن اداکاری کر رہے ہیں', '۔ فلم میں ایان میک کیلن نے شرلوک ہومز کی حیثیت سے ، لورا لین نے اس کی گھریلو خاتون مسز مونرو کی حیثیت سے ، اور مائلو پارکر نے اس کے بیٹے راجر کی حیثیت سے اداکاری کی']",ڈینیئل کاسٹیلینوٹا سمپسنز کے بیسویں سیزن میں پرتگالی ڈیول لارنس کو آواز دیتے ہوئے اداکاری کر رہے تھے۔,6.626250982284546,0.0,0.009174346923828125,30.746776580810547,37.38220191001892,easy
کون تھا ایک حصہ S#arp، لی Ji-hye یا کرٹس رائٹ؟,لی جی ہے,multihop,"['۔ اس میں ممبر کیم لیپ کا تعارف کیا گیا ہے اور اس میں دو سولو پٹریوں ، """"مگر"""" اور """"ٹوائیلیٹ"""" شامل ہیں۔""', '۔ جے دیو کی تصنیف کو گورو گرانتھ صاحب میں بھی شامل کیا گیا ہے۔', '۔ پی پی کے نام سے جانا جاتا ہے ، انہوں نے بلاک بسٹر ہٹ فلم """"جیا منڈے را"""" اور """"چیناکشاوا ریڈی"""" میں ولن کے طور پر کام کیا۔""']","اس سیاق و سباق سے ، یہ معلوم ہوتا ہے کہ ملوکیت کی ایک نئی اصطلاح ""پیرائی"" استعمال کی گئی ہے جس میں تین اداکاروں کا حوالہ دیا گیا ہے: سانگ-کیو لیپ ، جے دیو اور پی پی۔",6.008085012435913,0.0,0.013024568557739258,39.97115159034729,45.99226117134094,easy
امریکی باسکٹ بال ٹیم نے اس سال کے آخر میں شکاگو بلز کے لئے ایک سابق اٹلانٹا ہاکس اور لاس اینجلس کلیپرز کھلاڑی کو تبدیل کر دیا تھا، جس میں انہوں نے سینٹرل ڈویژن میں آخری جگہ پر ختم کیا.,نیو یارک نکس,multihop,"['لاس اینجلس کلیپرز ایک امریکی باسکٹ بال ٹیم ہے جو نیشنل باسکٹ بال ایسوسی ایشن (این بی اے) میں پیسفک ڈویژن میں کھیلتی ہے۔ یہ ٹیم 1970 میں ایک توسیع ٹیم کے طور پر این بی اے میں شامل ہوئی تھی', '۔ ڈیوک کے لئے کالج باسکٹ بال کھیلنے کے بعد ، اسے 1999 کے این بی اے ڈرافٹ میں شکاگو بلز نے پہلے مجموعی انتخاب کے ساتھ منتخب کیا تھا ، اور بعد میں فلاڈیلفیا 76رز ، لاس اینجلس کلیپرز ، ڈلاس میوریکس اور اٹلانٹا ہاکس کے لئے کھیلا تھا', 'جیمز نکولس وانڈر لین (پیدائش 27 اکتوبر 1979) ایک سابق امریکی پیشہ ور باسکٹ بال کھلاڑی ہے۔ انہوں نے 2004 میں کنکورڈیا-آئرون میں اپنے کالج کیریئر کو مکمل کرنے سے پہلے کیلیفورنیا اور ورجینیا کے لئے ڈویژن I کالج باسکٹ بال کے تین سیزن کھیلے']",اس سال کے آخر میں ، امریکی باسکٹ بال ٹیم نے شکاگو بلز نے سینٹرل ڈویژن کی آخری پوزیشن میں ختم کرنے والے ایک سابق اٹلانٹا ہاکس اور لاس اینجلس کلیپرز کھلاڑی کو حاصل کرنے کے تبادلے پر بات چیت کی ، جبکہ 1999 ء کے این بی اے ڈرافٹ میں شکاگو بلز نے پہلے سے 2004 میں کنکورڈیا-آئرون کالج میں کالج باسکٹ بال کا اپنا آخری سیزن مکمل کرنے والے جیمز نکولس وانڈر لین کا انتخاب کیا تھا۔,7.217580556869507,0.0,0.014539003372192383,74.8489282131195,82.0810477733612,easy
"لیٹروب بریوری کمپنی ، جو 1839 میں قائم ہوئی تھی ، ریاستہائے متحدہ میں سب سے بڑی بریوریوں میں سے ایک تھی اور ""رولنگ راک"" بیئر کی صنعت کار تھی ، جو بعد میں 2004 میں ضم ہوگئی ، جس میں بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کی بریور ایم بیوی کے مابین انضمام کا نتیجہ نکلا۔",انبیوی,multihop,"['انبیوی ایک بریوری کمپنی تھی جو بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کے بریور امبیوی کے مابین انضمام کے نتیجے میں پیدا ہوئی تھی ، جو 2004 میں اینہوسر-بوش کے حصول تک آزادانہ طور پر موجود تھی', 'لیٹروب بریوری کمپنی ، جو 1839 میں قائم ہوئی تھی ، ریاستہائے متحدہ میں سب سے بڑی بریوریوں میں سے ایک تھی اور اس نے اپنی چھوٹی سبز بوتلوں کے لئے مشہور رولنگ راک بیئر تیار کیا تھا', 'ڈنلوپ ٹائر کا ایک برانڈ ہے جو دنیا بھر میں مختلف کمپنیوں کی ملکیت ہے۔ اس کی بنیاد 1889 میں برمنگھم ، انگلینڈ میں نیومیٹک ٹائر کے علمبردار جان بوڈ ڈنلوپ نے رکھی تھی']","لیٹروب بریوری کمپنی ایک بیلجیم کمپنی تھی جس نے ""رولنگ راک"" بیئر تیار کی، اور اس کا 2004 میں ضم ہو گیا تھا ، جو انٹر بریور اور ایمبیوی کے مابین امتزاج سے پیدا ہوا تھا۔",8.16593623161316,0.0,0.01837158203125,39.577558517456055,47.761866331100464,easy
امریکی فوج کے ایک افسر اور منشیات کے اسمگلنگ کے مجرم کے بارے میں کیا خیال کیا جاتا ہے کہ وہ 1968 سے 1975 تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کرتے تھے؟,وہ ہیروئن کی اسمگلنگ کے لئے استعمال کیا جاتا ہے.,multihop,"['لیزلی اٹکنسن (۱۹ نومبر ١٩٢٥ - ۱۱ نومبر ٢٠١٤) امریکی فوج کا ایک ماسٹر سارجنٹ اور منشیات کا مجرم تھا۔ خیال کیا جاتا ہے کہ وہ تقریباً ۱۹۶۸ سے ۱۹۷۵ تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کرتا رہا۔', '""کالیفورنیا کے دارالحکومت پالمرا میں پیدا ہونے والے ایک منشیات فروش ، جو امریکی محکمہ خزانہ کے مطابق """"نارتھ ویلی کارٹیل"""" کے رہنماؤں میں سے ایک تھا ، کو کوکین کی اسمگلنگ کے علاوہ ، یہ بھی خیال کیا جاتا ہے کہ ابادیہ نے ہیروئن کی اسمگلنگ اور منی', '۔ ایک کامیاب اسکاؤٹ کے طور پر ، وہ باغیوں کے لئے اتنا پریشان کن اور اتنا مشہور ہوگیا کہ اس نے اپنے ریجنل کمانڈر ، کرنل جارج لیونارڈ اینڈریوز اینڈریوز ، اور آخر میں جنرل جارج بی میک کلیلن کی توجہ اپنی طرف متوجہ کی']","لیزلی اٹکنسن 1925-2014 ء) ایک امریکی فوجی افسر اور منشیات فروش تھا. ان پر خیال کیا جاتا ہے کہ وہ تقریبا 1968 سے 1975 تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کر رہا تھا۔ ""نارتھ ویلی کارٹیل"" کے رہنما میں سے ایک کے طور پر ، وہ اپنی منشیات کی اسمگلنگ کے علاوہ دیگر جرم و جرائم میں بھی ملوث تھا۔ ان کے اعمال نے باغی گروپ اور اعلیٰ فوجی افسران دونوں کو اپنی طرف متوجہ کیا ، جن میں سے آخر کار جارج بی میک کلین شامل تھے۔",6.850509881973267,0.0,0.007112264633178711,81.52108502388,88.37870717048645,easy
اینڈریو مارٹن ڈوبر ، ایک امریکی مخلوط مارشل آرٹسٹ ہے جو ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے جس کے لئے امریکی مخلوط مارشل آرٹس تنظیم لاس ویگاس ، نیواڈا میں مقیم ہے ، جو والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلتی ہے۔,الٹی میٹ فائٹنگ چیمپئن شپ (UFC),multihop,"['اینڈریو مارٹن ڈوبر (پیدائش 19 اکتوبر ، 1988) ایک امریکی مخلوط مارشل آرٹسٹ ہے جو الٹیمیٹ فائٹنگ چیمپئن شپ کے لئے ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے', 'ڈیرل ہورچر (پیدائش 28 جولائی 1987) ایک امریکی ملائی مارشل آرٹسٹ ہے جو فی الحال یو ایف سی کے لائٹ ویٹ ڈویژن میں مقابلہ کر رہا ہے', 'ہارون میتھیو رالی (پیدائش: 9 دسمبر ، 1980) ایک ریٹائرڈ امریکی مخلوط مارشل آرٹسٹ ہے جس نے حال ہی میں الٹیمیٹ فائٹنگ چیمپئن شپ کے لائٹ ویٹ ڈویژن میں مقابلہ کیا تھا']",لاس ویگاس، نیواڈا میں مقیم امریکی مخلوط مارشل آرٹس تنظیم کے لئے اینڈریو مارٹن ڈوبر ایک چھوٹی سی کمپنی ہے جو والدین کی کمپنی ڈبلیو ایم ای ایم جی کے زیر انتظام اور چلتی ہے۔,5.826036691665649,0.0,0.021627187728881836,39.74161505699158,45.58927893638611,easy
ایمینم کے البم مارشل میتھرز ایل پی 2 پر کون سا گانا نیوزی لینڈ کے ٹاپ 50 سنگلز میں شامل تھا؟,راکشس,multihop,"[""۔ چار گانے بھی نیوزی لینڈ کے ٹاپ 50 سنگلز میں شامل ہیں: کیٹی پیری کے گانے ، 'دی رو' اور 'ڈارک ہارس' ، ایڈ شیئرن کے ذریعہ 'آئی سی فائر' ، اور ایمینیم کے ذریعہ 'ٹیمر'۔"", '۔ یہ امریکی بل بورڈ ہاٹ کنٹری سنگلز اینڈ ٹریکس چارٹ پر چوتھے نمبر پر اور کینیڈا کے آر پی ایم کنٹری چارٹ پر دسویں نمبر پر ہے۔ امریکی مخلوط مارشل آرٹسٹ چائل سنن نے اس گانے کو یو ایف سی میں اپنے داخلہ کے لئے استعمال کیا ہے۔""', 'اورال اینڈ رائٹ ایک امریکی ملک موسیقی جوڑی تھی جس میں رابرٹ ایلس اورال اور کرٹس رائٹ شامل تھے۔ دونوں ممبروں نے سولو البمز ریکارڈ کیے تھے اور اورال اینڈ رائٹ کے آغاز سے پہلے اپنے سنگلز کو چارٹ کیا تھا']","ایمینم کے البم مارشل میتھرز ایل پی 2 پر گانا ""ٹیمر"" نیوزی لینڈ ٹاپ 50 سنگلز میں شامل تھا۔",6.374717950820923,0.0,0.013235807418823242,25.484346866607666,31.872300624847412,easy
