translated_question,translated_answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,level
سیری بی 2017 - 2017 (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹ) لیگ کا 86 واں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کر رہی ہیں: 15 2016 - 17 سیزن سے واپس آرہی ہیں ، 2016 - 17 سیری بی ، جو اسپانسرشپ کی وجوہات کی بناء پر سیری بی کونٹٹٹ کے نام سے جانا جاتا ہے ، اور اس کے قیام کے بعد سے 85 واں سیزن تھا۔,1929ء میں,easy,"['سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی یورو بی) کا مقابلہ کیا گیا تھا 82 ویں سیزن اس کے قیام کے بعد سے ، مجموعی طور پر 22 ٹیموں نے لیگ میں مقابلہ کیا: جن میں سے 15 2012-2013 کے سیزن سے واپس آرہی تھیں ، جن میں سے 4 کو لیگا پرو پریما ڈویژن سے', 'سیری بی (اسپانسرشپ کی وجوہات کی بناء پر سیری بی کے نام سے جانا جاتا ہے) اس کی بنیاد پر 81 ویں سیزن ہے ، جس میں مجموعی طور پر 22 ٹیمیں مقابلہ کریں گی: جن میں سے 15 2011 سے واپس آ رہی ہیں ، جن میں سے 4 لیگ پرو پریما ڈویژن سے ترقی یافتہ ہیں ، اور سیری', 'سیری بی (اسپانسرشپ وجوہات کی بناء پر سیری بی) کا مقابلہ کرنے والی لیگ کی 86 ویں سیزن ہے۔ اس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 2016 سے واپس آ رہی ہیں ، 4 لیگا پرو سے ترقی یافتہ ہیں ، اور 3 سیری اے سے نیچے گر چکے ہیں۔']",جی ہاں، سیاق و سباق درست ہے. سیریز بی (سپانسرشپ کی وجوہات کی بنیاد پر سیریز بی کونٹنت) کا مقابلہ کرنے والی لیگ کا 86 واں سیزن ہے، جس میں مجموعی طور پر 22 ٹیمیں حصہ لے رہی ہیں: 15 پچھلے سیزن (2016-17) سے واپس آئے ہیں، 4 لیگ پرو سے ترقی یافتہ ہوئے ہیں، اور 3 سیریز اے سے نیچے گر گئے ہیں.,3.469679832458496,0.0,0.01309967041015625,100.95444107055664,104.4372205734253,easy
"""آکسفورڈ کالج کے ایک ساتھی ایلک نیلر ڈکن نے کہا کہ """"یہ ایک بہت ہی اہم مقام ہے جہاں برطانوی کوڈ بریکرز نے کام کیا ہے۔""""""",کرپٹوولوجسٹ,easy,"['۔ ریچر اس وقت اسٹینفورڈ یونیورسٹی میں اسٹینفورڈ گریجویٹ اسکول آف بزنس اور اسٹینفورڈ لا اسکول کے مشترکہ مرکز اسٹینفورڈ سینٹر برائے توانائی کی پالیسی اور فنانس کے ایگزیکٹو ڈائریکٹر ہیں', '۔ یہ کام پہلے سے ہی تشکیل دیا گیا تھا ، ممکنہ طور پر کرسچن ، ڈیوک آف ساکس-ویسنفیلس کے دربار میں ایک موقع کے لئے۔""', '۔ گریس (اسکیلر سیموئلز) اور پیٹ (ڈیگو بونٹا) زیڈے (کیک پالمر) کی تلاش کی قیادت کرتے ہیں۔""']","""آکسفورڈ کالج کے ایک ساتھی ، ایلک نیلر ڈکن ، اس بات پر زور دیتے تھے کہ برطانوی کوڈ فریکرز نے ریچر کی قیادت میں تشکیل شدہ مرکزی حیثیت والے پروگراموں اور پلیٹ فارمز کا ایک پیچیدہ نیٹ ورک پیدا کرنے میں بڑا کردار ادا کیا ہے جس نے جدید کمپیوٹر سائنس کی ترقی کو آگے بڑھایا ہے۔",7.475699424743652,0.0,0.008512020111083984,49.27701115608215,56.76122260093689,easy
"""جراسک پارک کے اداکار ڈیوڈ ہنری ہوانگ نے """"دی ڈے"""" کے لئے ایک فلم بنائی""",بی ڈی وانگ,easy,"['۔ یہ فلم والٹر ونجر نے پروڈیوس کی ہے۔ اس فلم کی کہانی مائلس کونولی اور کیتھرین سکوولا نے لکھی ہے۔ یہ فلم یونائیٹڈ آرٹسٹس نے ریلیز کی تھی۔', '""ٹومی سوڈلو ایک امریکی اداکار اور اسکرین رائٹر ہے۔ انہوں نے فلم """"ہاورڈ دی ڈک"""" (1986) اور """"اسپیس بالز"""" (1987) میں کام کیا ہے۔ انہوں نے فلم """"کول رننگ"""" (1993) ، """"لٹل جنات"""" (1994) اور """"سنو ڈاگ"""" (2002) کے اسکرین پلے میں شریک ہیں', '""جیک روسو (پیدائش: 2 فروری ، 1939) ایک امریکی اسکرین رائٹر اور فلم ڈائریکٹر ہے جو عام طور پر 1968 کی ہارر کلاسیکی فلم """"نائٹ آف دی لونگ ڈیڈ"""" اور """"ہائوس آف فرینکن اسٹائن"""" کے ساتھ منسلک ہے']","میری جان، میرا مشورہ ہے کہ آپ ""دی ڈے"" فلم کے بارے میں اپنی تحقیق کریں تاکہ ان اعداد و شمار کو دیکھ سکیں جو آپ نے پیش کیے ہیں. یہاں مجھے متعلقہ معلومات نظر نہیں آتی۔",7.013944387435913,0.0,0.006010532379150391,34.45598316192627,41.47593808174133,easy
کون سا کردار ، ڈین کاسٹیلینیٹا کی آواز ، سمپسنز کے بیسویں سیزن کی دوسری قسط میں اداکاری کی؟,دادا سمپسن,easy,"['۔ اس کے کریڈٹ میں """"نائٹ آف دی لونگ ڈیڈ"""" ، """"دی میجوریٹس"""" ، """"مائڈ نائٹ"""" اور """"سانٹا"""" شامل ہیں۔ آخری دو میں ، اس نے ہدایت کاری بھی کی۔ اس نے ایک اداکار کے طور پر چھوٹے چھوٹے کردار ادا کیے ہیں', '۔ ڈرامائی انتھولوجی سیریز """"کلائماکس"""" کا ایک واقعہ ، یہ ایک جیمز بانڈ ناول کی پہلی اسکرین موافقت ہے اور اس میں بیری نیلسن ، پیٹر لور اور لنڈا کرسچن اداکاری کر رہے ہیں', '۔ فلم میں ایان میک کیلن نے شرلوک ہومز کی حیثیت سے ، لورا لین نے اس کی گھریلو خاتون مسز مونرو کی حیثیت سے ، اور مائلو پارکر نے اس کے بیٹے راجر کی حیثیت سے اداکاری کی']","ڈین کاسٹیلینیٹا 2019 میں ایک چھوٹی سی کردار ادا کر رہے تھے جب وہ فلم ""کلائماکس"" میں ایک افریقی مزدور کا کردار ادا کر رہے تھے، جو بانڈ کی ناولوں سیریز کو موافقت دیتا ہے۔",6.988844633102417,0.0,0.010628938674926758,34.20173764228821,41.20121121406555,easy
کون تھا ایک حصہ S#arp، لی Ji-hye یا کرٹس رائٹ؟,لی جی ہے,easy,"['۔ اس میں ممبر کیم لیپ کا تعارف کیا گیا ہے اور اس میں دو سولو پٹریوں ، """"مگر"""" اور """"ٹوائیلیٹ"""" شامل ہیں۔""', '۔ جے دیو کی تصنیف کو گورو گرانتھ صاحب میں بھی شامل کیا گیا ہے۔', '۔ پی پی کے نام سے جانا جاتا ہے ، انہوں نے بلاک بسٹر ہٹ فلم """"جیا منڈے را"""" اور """"چیناکشاوا ریڈی"""" میں ولن کے طور پر کام کیا۔""']","بلاک بسٹر فلم ""جیامندی را"" کی ہدایتکاری کرتھس رائٹ نے کی تھی ، جبکہ ایک حصہ پی پی نام سے جانا جاتا تھا اور وہ اس فلم میں ولن تھے۔",6.924379348754883,0.0,0.010535001754760742,27.292737007141113,34.22765135765076,easy
امریکی باسکٹ بال ٹیم نے اس سال کے آخر میں شکاگو بلز کے لئے ایک سابق اٹلانٹا ہاکس اور لاس اینجلس کلیپرز کھلاڑی کو تبدیل کر دیا تھا، جس میں انہوں نے سینٹرل ڈویژن میں آخری جگہ پر ختم کیا.,نیو یارک نکس,easy,"['لاس اینجلس کلیپرز ایک امریکی باسکٹ بال ٹیم ہے جو نیشنل باسکٹ بال ایسوسی ایشن (این بی اے) میں پیسفک ڈویژن میں کھیلتی ہے۔ یہ ٹیم 1970 میں ایک توسیع ٹیم کے طور پر این بی اے میں شامل ہوئی تھی', '۔ ڈیوک کے لئے کالج باسکٹ بال کھیلنے کے بعد ، اسے 1999 کے این بی اے ڈرافٹ میں شکاگو بلز نے پہلے مجموعی انتخاب کے ساتھ منتخب کیا تھا ، اور بعد میں فلاڈیلفیا 76رز ، لاس اینجلس کلیپرز ، ڈلاس میوریکس اور اٹلانٹا ہاکس کے لئے کھیلا تھا', 'جیمز نکولس وانڈر لین (پیدائش 27 اکتوبر 1979) ایک سابق امریکی پیشہ ور باسکٹ بال کھلاڑی ہے۔ انہوں نے 2004 میں کنکورڈیا-آئرون میں اپنے کالج کیریئر کو مکمل کرنے سے پہلے کیلیفورنیا اور ورجینیا کے لئے ڈویژن I کالج باسکٹ بال کے تین سیزن کھیلے']",لاس اینجلس کلیپرز نے ایک سابق امریکی باسکٹ بال ٹیم کے کھلاڑی کو لاس اینجلس کلیپرز ، اور شکاگو بلز میں منتقل کردیا تھا جس نے سینٹرل ڈویژن میں آخری جگہ حاصل کی تھی۔,7.608615159988403,0.0,0.013235092163085938,31.823339223861694,39.445189476013184,easy
"لیٹروب بریوری کمپنی ، جو 1839 میں قائم ہوئی تھی ، ریاستہائے متحدہ میں سب سے بڑی بریوریوں میں سے ایک تھی اور ""رولنگ راک"" بیئر کی صنعت کار تھی ، جو بعد میں 2004 میں ضم ہوگئی ، جس میں بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کی بریور ایم بیوی کے مابین انضمام کا نتیجہ نکلا۔",انبیوی,easy,"['انبیوی ایک بریوری کمپنی تھی جو بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کے بریور امبیوی کے مابین انضمام کے نتیجے میں پیدا ہوئی تھی ، جو 2004 میں اینہوسر-بوش کے حصول تک آزادانہ طور پر موجود تھی', 'لیٹروب بریوری کمپنی ، جو 1839 میں قائم ہوئی تھی ، ریاستہائے متحدہ میں سب سے بڑی بریوریوں میں سے ایک تھی اور اس نے اپنی چھوٹی سبز بوتلوں کے لئے مشہور رولنگ راک بیئر تیار کیا تھا', 'ڈنلوپ ٹائر کا ایک برانڈ ہے جو دنیا بھر میں مختلف کمپنیوں کی ملکیت ہے۔ اس کی بنیاد 1889 میں برمنگھم ، انگلینڈ میں نیومیٹک ٹائر کے علمبردار جان بوڈ ڈنلوپ نے رکھی تھی']",انبیوی ایک بریوری کمپنی تھی جس کا قیام بیلجیم میں مقیم کمپنی انٹر بریور اور برازیل کی بریور امبیوی کے مابین 2004 کے ضم ہونے سے منسوب کیا گیا تھا ، جبکہ اینووسر-بوچ اس وقت موجود ایلٹروب بریوری کمپنی تھی جو ریاستہائے متحدہ میں سب سے بڑی تھی اور مشہور رولنگ راک بیئر تیار کرتی تھی۔ ڈنلوپ ایک ٹائر برانڈ تھا جو مختلف کمپنیوں کے ذریعہ منظم کیا گیا تھا ، جس کی بنیاد انگلینڈ میں نیومیٹک ٹائروں کے ماہر جان بوڈ ڈنلوپ نے رکھی تھی۔,7.992504596710205,0.0,0.02329254150390625,75.41657543182373,83.43237257003784,easy
امریکی فوج کے ایک افسر اور منشیات کے اسمگلنگ کے مجرم کے بارے میں کیا خیال کیا جاتا ہے کہ وہ 1968 سے 1975 تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کرتے تھے؟,وہ ہیروئن کی اسمگلنگ کے لئے استعمال کیا جاتا ہے.,easy,"['لیزلی اٹکنسن (۱۹ نومبر ١٩٢٥ - ۱۱ نومبر ٢٠١٤) امریکی فوج کا ایک ماسٹر سارجنٹ اور منشیات کا مجرم تھا۔ خیال کیا جاتا ہے کہ وہ تقریباً ۱۹۶۸ سے ۱۹۷۵ تک جنوب مشرقی ایشیا سے ہیروئن کی اسمگلنگ میں اہم کردار ادا کرتا رہا۔', '""کالیفورنیا کے دارالحکومت پالمرا میں پیدا ہونے والے ایک منشیات فروش ، جو امریکی محکمہ خزانہ کے مطابق """"نارتھ ویلی کارٹیل"""" کے رہنماؤں میں سے ایک تھا ، کو کوکین کی اسمگلنگ کے علاوہ ، یہ بھی خیال کیا جاتا ہے کہ ابادیہ نے ہیروئن کی اسمگلنگ اور منی', '۔ ایک کامیاب اسکاؤٹ کے طور پر ، وہ باغیوں کے لئے اتنا پریشان کن اور اتنا مشہور ہوگیا کہ اس نے اپنے ریجنل کمانڈر ، کرنل جارج لیونارڈ اینڈریوز اینڈریوز ، اور آخر میں جنرل جارج بی میک کلیلن کی توجہ اپنی طرف متوجہ کی']","امریکہ کے ماسٹر سارجنٹ لیزلی اٹکنسن کو امریکی محکمہ خزانہ نے ""نارتھ ویلی کارٹیل"" کے رہنماؤں میں سے ایک کے طور پر بیان کیا ہے جس کا تعلق 1968 اور 1975 کے درمیان جنوب مشرقی ایشیا سے کوکین کی اسمگلنگ سے تھا۔ بڑے پیمانے پر اسکارٹ ایٹکنسن نے اپنی خدمات کے لئے اتنا شہرت حاصل کی کہ انہیں امریکی فوج میں کرنل جارج لیونارڈ اینڈریوز اور جنرل جارج بی میک کلین کی توجہ اپنی طرف مبذول ہوئی۔",6.983307600021362,0.0,0.000522613525390625,65.68755102157593,72.67138123512268,easy
اینڈریو مارٹن ڈوبر ، ایک امریکی مخلوط مارشل آرٹسٹ ہے جو ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے جس کے لئے امریکی مخلوط مارشل آرٹس تنظیم لاس ویگاس ، نیواڈا میں مقیم ہے ، جو والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلتی ہے۔,الٹی میٹ فائٹنگ چیمپئن شپ (UFC),easy,"['اینڈریو مارٹن ڈوبر (پیدائش 19 اکتوبر ، 1988) ایک امریکی مخلوط مارشل آرٹسٹ ہے جو الٹیمیٹ فائٹنگ چیمپئن شپ کے لئے ہلکے وزن کے ڈویژن میں مقابلہ کرتا ہے', 'ڈیرل ہورچر (پیدائش 28 جولائی 1987) ایک امریکی ملائی مارشل آرٹسٹ ہے جو فی الحال یو ایف سی کے لائٹ ویٹ ڈویژن میں مقابلہ کر رہا ہے', 'ہارون میتھیو رالی (پیدائش: 9 دسمبر ، 1980) ایک ریٹائرڈ امریکی مخلوط مارشل آرٹسٹ ہے جس نے حال ہی میں الٹیمیٹ فائٹنگ چیمپئن شپ کے لائٹ ویٹ ڈویژن میں مقابلہ کیا تھا']",اینڈریو مارٹن ڈوبر ایک امریکی مخلوط مارشل آرٹسٹ ہے جس کی پیدائش 19 اکتوبر ، 1988 کو ہوئی ، جو الٹیمیٹ فائٹنگ چیمپئن شپ میں ہلکے وزن کے ڈویژن میں مقابلہ کرتی ہے۔ وہ امریکی مخلوط مارشل آرٹس تنظیم لاس ویگاس، نیواڈا میں مقیم ہیں اور والدین کمپنی ڈبلیو ایم ای ایم جی کی ملکیت اور چلاتے ہیں۔,6.270103931427002,0.0,0.009413957595825195,53.519728660583496,59.79924654960632,easy
ایمینم کے البم مارشل میتھرز ایل پی 2 پر کون سا گانا نیوزی لینڈ کے ٹاپ 50 سنگلز میں شامل تھا؟,راکشس,easy,"[""۔ چار گانے بھی نیوزی لینڈ کے ٹاپ 50 سنگلز میں شامل ہیں: کیٹی پیری کے گانے ، 'دی رو' اور 'ڈارک ہارس' ، ایڈ شیئرن کے ذریعہ 'آئی سی فائر' ، اور ایمینیم کے ذریعہ 'ٹیمر'۔"", '۔ یہ امریکی بل بورڈ ہاٹ کنٹری سنگلز اینڈ ٹریکس چارٹ پر چوتھے نمبر پر اور کینیڈا کے آر پی ایم کنٹری چارٹ پر دسویں نمبر پر ہے۔ امریکی مخلوط مارشل آرٹسٹ چائل سنن نے اس گانے کو یو ایف سی میں اپنے داخلہ کے لئے استعمال کیا ہے۔""', 'اورال اینڈ رائٹ ایک امریکی ملک موسیقی جوڑی تھی جس میں رابرٹ ایلس اورال اور کرٹس رائٹ شامل تھے۔ دونوں ممبروں نے سولو البمز ریکارڈ کیے تھے اور اورال اینڈ رائٹ کے آغاز سے پہلے اپنے سنگلز کو چارٹ کیا تھا']","اپنے سوال میں بیان کردہ سیاق و سباق کی بنیاد پر ، ایمینم کے البم مارشل مین نے نیوزی لینڈ ٹاپ 50 سنگلز چارٹ میں گانا ""میرا"" شامل کیا تھا۔",6.660716533660889,0.0,0.011075496673583984,25.94901418685913,32.6208062171936,easy
