question,answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,total_time_without_classification,level
"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929, a total of 22 teams are contesting the league: 15 returning from the 2016–17 season, The 2016–17 Serie B, known as the Serie B ConTe.it for sponsorship reasons, and was the 85th season since its establishment in, what year?",1929,singlehop,"['The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929', 'The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929', 'The 2015–16 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 84th season since its establishment in 1929']",1929,1.089863062,0,0.178917885,12.01677299,13.28555393,12.19569087,easy
"What specialism did Alec Naylor Dakin, fellow of Oxford College, pursue at Bletchley Park during the second World War; a central site for British codebreakers?",cryptologist,singlehop,"['Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster.', 'One group of characters are World War II-era Allied codebreakers and tactical-deception operatives affiliated with the Government Code and Cypher School at Bletchley Park (UK)', 'Bletchley Park was the central site for British codebreakers during World War II']",Egyptologist,3.92730689,0,0.002056599,2.860818624,6.790182114,2.862875224,easy
Which actor from Jurassic Park assisted David Henry Hwang direct his 1993 play,BD Wong,multihop,"['Rich Relations is a 1986 play by American playwright David Henry Hwang', ""Face Value was a 1993 play by American playwright David Henry Hwang.  It was to be the second Broadway production of the playwright's work, but it closed in previews on March 14, 1993"", 'Family Devotions is a 1981 play by American playwright David Henry Hwang']",Sam Neill.,4.236095667,0,0.039124966,2.868658066,7.143878698,2.907783031,easy
"What character, voiced by Dan Castellaneta, starred in the second episode of the twenty-second season of The Simpsons?",Grampa Simpson,singlehop,"['The character is voiced by Dan Castellaneta and first appeared in the series premiere episode ""Simpsons Roasting on an Open Fire""', 'Voiced by Dan Castellaneta, he is the father of Homer Simpson and the grandfather of Bart, Lisa and Maggie Simpson', 'This episode was dedicated in memory of Louis Castellaneta, the father of ""The Simpsons"" voice actor Dan Castellaneta.  It was written by Joel H']",Homer Simpson.,3.95446229,0,0.002063036,2.8542099,6.810735226,2.856272936,easy
"Who was a part of S#arp, Lee Ji-hye or Curtis Wright?",Lee Ji-hye,singlehop,"['Seo Ji-young bullied fellow member Lee Ji-hye until the company was forced to disband S#arp.', 'Lee Ji-hye (born January 11, 1980) is a South Korean singer and actress.  She was former member of pop group S#arp', 'She was former member of pop group S#arp.  The group released six albums before their breakup in 2002, attributed to the feud between Lee and fellow female member Seo Ji-young']",Lee Ji-hye,3.607452631,0,0.008575201,2.858887196,6.474915028,2.867462397,easy
To which professional American basketball team was a former Atlanta Hawks and Los Angeles Clippers player traded during a season for the Chicago Bulls in which they finished in last place in the Central Division?,New York Knicks,multihop,"['The Hawks then traded the first pick to the Houston Rockets before the draft', 'Charlotte Bobcats, Golden State Warriors, Atlanta Hawks and Chicago Bulls', 'and later played for the Philadelphia 76ers, the Los Angeles Clippers, Dallas Mavericks and Atlanta Hawks']",The professional American basketball team was traded to Chicago Bulls.,3.889403582,0,0.001668692,3.012506723,6.903578997,3.014175415,easy
"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?",InBev,singlehop,"['Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer (famous for its small green bottles)', 'InBev was a brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev which took place in 2004', ""100% owned by Anheuser-Busch InBev (AB InBev) the world's largest brewing company based in Belgium""]",Anheuser-Busch InBev (AB InBev).,3.979359865,0,0.009512901,3.403128624,7.39200139,3.412641525,easy
What did the USarmy seargant and convicted drug trafficker that was believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975 deny about Frank Lucas?,that he smuggled heroin,multihop,"['believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975', 'Frank Lucas (born September 9, 1930) is an American former drug trafficker, who operated in Harlem during the late 1960s and early 1970s', 'the drugs baron was reprimanded after being linked to alleged heroin smuggling']",Frank Lucas.,4.224675417,0,0.004914999,3.125086069,7.354676485,3.130001068,easy
"Andrew Martin Dober, is an American mixed martial artist who competes in the lightweight division for which American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG?",Ultimate Fighting Championship (UFC),singlehop,"['Andrew Martin Dober (born October 19, 1988) is an American mixed martial artist who competes in the lightweight division for the Ultimate Fighting Championship', 'The Ultimate Fighting Championship (UFC) is an American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG', 'A professional mixed martial artist since 2010, he formerly competed for Bellator and the Cage Fury Fighting Championships, where he was the Lightweight Champion.']",The Ultimate Fighting Championship (UFC),4.155329704,0,5.75E-05,3.249571562,7.404958725,3.249629021,easy
"Which song on Eminem's album ""The Marshall Mathers LP 2"" was featured in the New Zealand top 50 singles of 2013?",The Monster,singlehop,"['The Marshall Mathers LP 2 is the eighth studio album by American rapper Eminem.  Aftermath Entertainment, Shady Records, and Interscope Records released the album on November 5, 2013', 'The song premiered via YouTube, on October 14, 2013, and was released in the US on October 15, as the third single from Eminem\'s eighth studio album, ""The Marshall Mathers LP 2"" (2013)', 'The song connects the second ""Marshall Mathers LP"" to the first, which was released in the year 2000']",Berzerk,3.817024231,0,0.001117706,2.924392223,6.742534161,2.92550993,easy
