question,answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,total_time_without_classification,level
"The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929, a total of 22 teams are contesting the league: 15 returning from the 2016–17 season, The 2016–17 Serie B, known as the Serie B ConTe.it for sponsorship reasons, and was the 85th season since its establishment in, what year?",1929,singlehop,"['The 2017–18 Serie B (known as the Serie B ConTe.it for sponsorship reasons) is the 86th season since its establishment in 1929', 'The 2016–17 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 85th season since its establishment in 1929', 'The 2015–16 Serie B (known as the Serie B ConTe.it for sponsorship reasons) was the 84th season since its establishment in 1929']",1929,2.77452445,0,0.003525734,0.429588795,3.207638979,0.433114529,easy
"What specialism did Alec Naylor Dakin, fellow of Oxford College, pursue at Bletchley Park during the second World War; a central site for British codebreakers?",cryptologist,multihop,"['Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster.', 'One group of characters are World War II-era Allied codebreakers and tactical-deception operatives affiliated with the Government Code and Cypher School at Bletchley Park (UK)', 'Bletchley Park was the central site for British codebreakers during World War II']",Cryptologist,3.601121664,0,0,0.371419907,3.972541571,0.371419907,easy
Which actor from Jurassic Park assisted David Henry Hwang direct his 1993 play,BD Wong,multihop,"['Rich Relations is a 1986 play by American playwright David Henry Hwang', ""Face Value was a 1993 play by American playwright David Henry Hwang.  It was to be the second Broadway production of the playwright's work, but it closed in previews on March 14, 1993"", 'Family Devotions is a 1981 play by American playwright David Henry Hwang']",Sam Neill.,3.415645123,0,0,0.389737129,3.805382252,0.389737129,easy
"What character, voiced by Dan Castellaneta, starred in the second episode of the twenty-second season of The Simpsons?",Grampa Simpson,singlehop,"['The character is voiced by Dan Castellaneta and first appeared in the series premiere episode ""Simpsons Roasting on an Open Fire""', 'Voiced by Dan Castellaneta, he is the father of Homer Simpson and the grandfather of Bart, Lisa and Maggie Simpson', 'This episode was dedicated in memory of Louis Castellaneta, the father of ""The Simpsons"" voice actor Dan Castellaneta.  It was written by Joel H']",Homer Simpson,2.135564327,0,0.003568411,0.380717516,2.519850254,0.384285927,easy
"Who was a part of S#arp, Lee Ji-hye or Curtis Wright?",Lee Ji-hye,singlehop,"['Seo Ji-young bullied fellow member Lee Ji-hye until the company was forced to disband S#arp.', 'Lee Ji-hye (born January 11, 1980) is a South Korean singer and actress.  She was former member of pop group S#arp', 'She was former member of pop group S#arp.  The group released six albums before their breakup in 2002, attributed to the feud between Lee and fellow female member Seo Ji-young']",Lee Ji-hye was a part of S#arp.,2.309981346,0,0.008232117,0.573579311,2.891792774,0.581811428,easy
To which professional American basketball team was a former Atlanta Hawks and Los Angeles Clippers player traded during a season for the Chicago Bulls in which they finished in last place in the Central Division?,New York Knicks,multihop,"['The Hawks then traded the first pick to the Houston Rockets before the draft', 'Charlotte Bobcats, Golden State Warriors, Atlanta Hawks and Chicago Bulls', 'and later played for the Philadelphia 76ers, the Los Angeles Clippers, Dallas Mavericks and Atlanta Hawks']",The Chicago Bulls.,2.818472624,0,0.007375956,0.35846591,3.184314489,0.365841865,easy
"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?",InBev,multihop,"['Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer (famous for its small green bottles)', 'InBev was a brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev which took place in 2004', ""100% owned by Anheuser-Busch InBev (AB InBev) the world's largest brewing company based in Belgium""]",InBev.,3.534246922,0,0.00851512,0.455940723,3.998702765,0.464455843,easy
What did the USarmy seargant and convicted drug trafficker that was believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975 deny about Frank Lucas?,that he smuggled heroin,multihop,"['believed to have been a major figure in smuggling heroin into the United States from Southeast Asia from about 1968 to 1975', 'Frank Lucas (born September 9, 1930) is an American former drug trafficker, who operated in Harlem during the late 1960s and early 1970s', 'the drugs baron was reprimanded after being linked to alleged heroin smuggling']",Frank Lucas denied about being a major figure in smuggling heroin into the United States from Southeast Asia from 1968 to 1975.,3.589907408,0,0.002212286,0.942204475,4.534324169,0.944416761,easy
"Andrew Martin Dober, is an American mixed martial artist who competes in the lightweight division for which American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG?",Ultimate Fighting Championship (UFC),singlehop,"['Andrew Martin Dober (born October 19, 1988) is an American mixed martial artist who competes in the lightweight division for the Ultimate Fighting Championship', 'The Ultimate Fighting Championship (UFC) is an American mixed martial arts organization based in Las Vegas, Nevada, that is owned and operated by parent company WME–IMG', 'A professional mixed martial artist since 2010, he formerly competed for Bellator and the Cage Fury Fighting Championships, where he was the Lightweight Champion.']",The Ultimate Fighting Championship,3.077289343,0,0.000523329,0.424478054,3.502290726,0.425001383,easy
"Which song on Eminem's album ""The Marshall Mathers LP 2"" was featured in the New Zealand top 50 singles of 2013?",The Monster,multihop,"['The Marshall Mathers LP 2 is the eighth studio album by American rapper Eminem.  Aftermath Entertainment, Shady Records, and Interscope Records released the album on November 5, 2013', 'The song premiered via YouTube, on October 14, 2013, and was released in the US on October 15, as the third single from Eminem\'s eighth studio album, ""The Marshall Mathers LP 2"" (2013)', 'The song connects the second ""Marshall Mathers LP"" to the first, which was released in the year 2000']",Berzerk was featured in the New Zealand top 50 singles of 2013.,4.05049777,0,0.006816149,0.7420187,4.799332619,0.748834849,easy
 Are the Comx-35 and Sharp MZ both personal types of computers?,yes,singlehop,"['The Sharp MZ is a series of personal computers sold in Japan and Europe (particularly Germany and Great Britain) by Sharp beginning in 1978.', 'The COMX-35 was a home computer that was one of the very few systems to use the RCA 1802 microprocessor, the same microprocessor that is also used in some space probes.', 'Examples of a digital electronic computers include the IBM PC, the Apple Macintosh as well as modern smartphones']",Yes.,2.708475113,0,0.000609636,0.352204561,3.06128931,0.352814197,easy
"Who, Diane Wilkins or Steven Spielberg, is considered one of the founding pioneers of the New Hollywood era?",Steven Allan Spielberg,singlehop,"['He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history', 'He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history', 'Steven Spielberg (born December 18, 1946) is an American director, producer, and screenwriter']",Steven Spielberg,3.238714695,0,0.003697634,0.355434656,3.597846985,0.35913229,easy
